k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,73.05,-0.2711,0.9999,0.0001,0.0001,0.7628
1,2,97.28,-1.4427,0.9999,0.6208,0.6154,0.8586
3,1,62.93,-21.0935,0.9999,0.2758,0.4116,0.3579
3,2,61.29,-17.5783,0.9999,0.179,0.2358,0.6125
3,3,73.55,-13.1844,0.7826,0.2721,0.3328,0.2184
3,4,90.81,-24.2053,0.9999,0.2859,0.3287,0.8038
3,5,72.38,-7.8976,0.9999,0.3882,0.3328,0.8109
3,6,82.12,-4.17,0.9999,0.1286,0.1351,0.7848
3,7,64.85,-21.0825,0.9999,0.3077,0.3083,0.5024
3,8,80.62,-22.512,0.9999,0.261,0.3361,0.6089
3,9,90.9,-13.7983,0.9999,0.1708,0.1652,0.5692
3,10,101.95,-17.3964,0.8312,0.4342,0.3749,0.2017
3,11,72.87,-8.579,0.9999,0.0601,0.053,0.6583
3,12,72.81,-8.5936,0.9999,0.0606,0.0544,0.6536
3,13,65.56,-18.5243,0.9697,0.2652,0.2896,0.4347
3,14,63.33,-14.5857,0.9999,0.1602,0.1369,0.6673
3,15,91.28,-1.0956,0.9999,0.0001,0.0001,0.7606
3,16,54.34,-17.6338,0.9999,0.1712,0.1965,0.7284
3,17,53.54,-11.4398,0.9297,0.1483,0.1398,0.4102
3,18,69.96,-12.6943,0.9999,0.1541,0.2388,0.3778
3,19,64.62,-12.1377,0.9999,0.1101,0.0976,0.6935
3,20,76.36,-7.8925,0.9999,0.3425,0.3776,0.8061
3,21,67.09,-21.7556,0.9999,0.416,0.3159,0.4223
3,22,57.85,-15.5538,0.9569,0.1548,0.1395,0.7437
3,23,72.11,-0.2711,0.9999,0.0001,0.0001,0.7628
3,24,72.35,-20.1971,0.9999,0.2108,0.231,0.7715
3,25,54.38,-16.5227,0.9999,0.2153,0.1862,0.528
3,26,57.6,-14.4173,0.9301,0.2311,0.185,0.3846
3,27,80.71,-26.3331,0.9999,0.3398,0.3063,0.7859
3,28,74.56,-13.5338,0.9999,0.1817,0.1726,0.4783
3,29,61.24,-20.9299,0.7468,0.2632,0.2643,0.7464
3,30,100.43,-28.7646,0.9299,0.5308,0.4468,0.4425
