k,time,a,b,c,d,best_ll
1,3.938189744949341,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,-0.0004000663757324219
2,4.115581035614014,0.9998999834060669,0.26562121510505676,9.999999747378752e-05,0.7802500128746033,-3.587997055053711
3,4.885351896286011,0.9998999834060669,0.3794891834259033,9.999999747378752e-05,0.6830489635467529,-13.322235679626464
4,5.555656433105469,0.9654688835144043,0.3983677625656128,9.999999747378752e-05,0.5773751735687256,-32.25122127532959
5,7.569087266921997,0.9518765211105347,0.4095686078071594,0.15236853063106537,0.48687952756881714,-111.41973724365235
6,3.5844364166259766,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,0.0
7,8.608519077301025,0.9998999834060669,0.2549580931663513,0.15149541199207306,0.5183666348457336,-448.6940948486328
8,6.718758583068848,0.9193000793457031,0.23986150324344635,0.15728873014450073,0.6255389451980591,-1056.154296875
9,7.321441173553467,0.9098235964775085,0.22609587013721466,0.23065373301506042,0.5810691118240356,-2441.1738525390624
10,8.161194086074829,0.8971176147460938,0.26882848143577576,0.22669345140457153,0.5647786855697632,-5444.62177734375
11,9.104718685150146,0.9113245010375977,0.2591162323951721,0.2199067771434784,0.5639720559120178,-11477.43125
12,9.882773399353027,0.8809239268302917,0.2707997262477875,0.23915821313858032,0.5630930066108704,-24984.8228515625
13,11.141751289367676,0.8703778386116028,0.2871975302696228,0.2623404860496521,0.5350340008735657,-54073.219921875
14,12.293209075927734,0.8409004211425781,0.3224639296531677,0.2894933521747589,0.5044806003570557,-117590.009375
15,13.606419086456299,0.8033360242843628,0.3481230139732361,0.32233893871307373,0.4833117127418518,-253439.3203125
16,10.816421031951904,0.7733386158943176,0.38312065601348877,0.3482606112957001,0.4560452103614807,-538870.0625
17,12.462312459945679,0.7496474385261536,0.4047084152698517,0.3759033679962158,0.42821720242500305,-1132103.6125
18,38.37794518470764,0.7277481555938721,0.4262007772922516,0.39300796389579773,0.409241259098053,-2360055.65
19,23.557419538497925,0.7192886471748352,0.4309384226799011,0.39870578050613403,0.4099307954311371,-4876142.9
20,33.94819402694702,0.7161171436309814,0.42015165090560913,0.38680440187454224,0.43722331523895264,-10022135.2
21,56.53905963897705,0.7054551839828491,0.4143332242965698,0.38406944274902344,0.4565492570400238,-20598258.0
22,97.73830938339233,0.6936678290367126,0.41306281089782715,0.3860596716403961,0.46913015842437744,-42282835.6
23,191.16617465019226,0.6794772148132324,0.414957731962204,0.3934054672718048,0.47245481610298157,-86740987.2
24,352.6166808605194,0.6709457635879517,0.4152306020259857,0.39792299270629883,0.477130651473999,-177272144.0
