k,time,a,b,c,d,best_ll
1,6.5165698528289795,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,-0.0004000663757324219
2,5.252884387969971,0.9998999834060669,0.7420982718467712,0.9998999834060669,9.999999747378752e-05,-4.115541458129883
3,6.144190549850464,0.9998999834060669,0.4691626727581024,0.32600393891334534,0.32782793045043945,-21.785422134399415
4,12.5819730758667,0.9998999834060669,0.752861738204956,0.6034108400344849,0.14153318107128143,-75.92249908447266
5,14.593019247055054,0.9998999834060669,0.4902138411998749,0.6016061902046204,0.29003602266311646,-229.4374572753906
6,8.096906185150146,0.9967877268791199,0.3938186764717102,0.49516576528549194,9.999999747378752e-05,-28.094113731384276
7,15.545729398727417,0.9998999834060669,0.5776562690734863,0.4743310809135437,0.044851988554000854,-253.04464569091797
8,15.939664125442505,0.9743770360946655,0.6198931336402893,0.5915261507034302,0.1795373409986496,-3436.609130859375
9,19.250943899154663,0.9410372972488403,0.6235912442207336,0.5910077095031738,0.19306115806102753,-8983.79443359375
10,27.05509066581726,0.9747501015663147,0.6156875491142273,0.5829444527626038,0.19019903242588043,-22621.1158203125
11,37.74172878265381,0.975376307964325,0.594609797000885,0.5371361374855042,0.20508073270320892,-57599.141796875
12,54.739851236343384,0.9806939363479614,0.5923720002174377,0.5301663279533386,0.20921503007411957,-144199.725
13,78.99408078193665,0.9878259897232056,0.5864337086677551,0.5263920426368713,0.21365372836589813,-355798.38125
14,114.82947564125061,0.9982807636260986,0.5780428051948547,0.5173272490501404,0.22265592217445374,-886781.83125
15,162.80968618392944,0.9998117685317993,0.5756142139434814,0.5146551132202148,0.2240440398454666,-2178685.75
16,129.48030161857605,0.9998999834060669,0.5741490721702576,0.5128816366195679,0.22909411787986755,-5355292.6
17,216.87359356880188,0.9998999834060669,0.5676514506340027,0.5064613223075867,0.23350782692432404,-13104803.1
18,354.2306525707245,0.9998999834060669,0.5662943720817566,0.5045225024223328,0.2450868934392929,-32045026.4
19,581.0648379325867,0.9998999834060669,0.561032235622406,0.49883729219436646,0.2542490065097809,-78473422.4
20,966.8572590351105,0.9955773949623108,0.5570381879806519,0.4941639304161072,0.2653791010379791,-193210006.4
