k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,47.8,-2.7112,0.9999,0.7986,0.3901,0.3475
1,2,34.09,-2.6978,0.9999,0.396,0.7921,0.3538
2,1,39.6,-4.8394,0.9999,0.5427,0.5428,0.0001
2,2,33.68,-4.6945,0.9999,0.6853,0.6883,0.0001
2,3,46.14,-5.3242,0.9999,0.4992,0.8248,0.0001
2,4,34.92,-3.996,0.9999,0.7449,0.9999,0.0001
2,5,28.74,-5.4655,0.9999,0.4016,0.6714,0.0001
2,6,78.16,-5.6137,0.6023,0.6024,0.6022,0.0001
2,7,33.75,-4.6955,0.9999,0.6885,0.6789,0.0001
2,8,31.39,-7.4412,0.6038,0.4949,0.9563,0.0001
2,9,45.72,-5.3239,0.9999,0.4992,0.8248,0.0001
2,10,26.02,-3.4426,0.9999,0.3432,0.3432,0.0001
2,11,52.86,-7.4551,0.5592,0.3228,0.3359,0.5574
2,12,28.6,-5.4758,0.9999,0.6774,0.4029,0.0001
2,13,33.74,-7.4697,0.9999,0.3565,0.8944,0.0001
2,14,33.77,-7.4598,0.9999,0.3572,0.8938,0.0001
2,15,31.04,-7.3206,0.9999,0.092,0.5986,0.039
2,16,30.59,-6.9382,0.9999,0.8562,0.4992,0.0254
2,17,27.26,-6.6402,0.9999,0.4862,0.8888,0.0002
2,18,34.79,-3.0015,0.9999,0.9999,0.9999,0.0001
2,19,39.63,-4.8395,0.9999,0.5427,0.5426,0.0001
2,20,29.86,-6.768,0.9999,0.4942,0.8641,0.0096
2,21,46.17,-5.3277,0.9999,0.4942,0.8197,0.0001
2,22,38.65,-3.7433,0.9999,0.6023,0.6023,0.0001
2,23,37.34,-1.5018,0.9999,0.9999,0.9999,0.0001
2,24,39.64,-4.8391,0.9999,0.5479,0.5479,0.0001
2,25,47.86,-2.7145,0.9999,0.7993,0.3884,0.3455
2,26,33.73,-4.6926,0.9999,0.6843,0.6841,0.0001
2,27,39.56,-4.8392,0.9999,0.5427,0.5428,0.0001
2,28,75.16,-7.8318,0.9999,0.497,0.8964,0.0713
2,29,28.58,-5.4623,0.9999,0.6783,0.4071,0.0001
2,30,28.57,-5.5136,0.9999,0.68,0.3932,0.0001
3,1,49.45,-19.324,0.9999,0.6601,0.4111,0.062
3,2,28.87,-15.7032,0.9999,0.5635,0.66,0.0001
3,3,41.03,-18.423,0.9999,0.5791,0.6397,0.0351
3,4,46.42,-20.4137,0.9999,0.6836,0.5791,0.0842
3,5,26.76,-15.743,0.9999,0.6697,0.7055,0.0001
3,6,25.43,-22.3366,0.9999,0.9999,0.5561,0.0001
3,7,27.33,-15.0292,0.9999,0.7799,0.7219,0.0001
3,8,60.96,-24.3775,0.9999,0.6748,0.6023,0.1836
3,9,30.81,-14.8839,0.9999,0.6398,0.5647,0.0001
3,10,43.74,-15.867,0.9999,0.547,0.6773,0.0066
3,11,34.45,-16.424,0.9999,0.7407,0.4108,0.0001
3,12,37.48,-26.2841,0.9999,0.4453,0.8876,0.067
3,13,38.32,-27.1453,0.9888,0.5124,0.8455,0.1069
3,14,42.0,-15.9041,0.8122,0.6447,0.596,0.0001
3,15,40.51,-15.1307,0.9999,0.5438,0.7612,0.0001
3,16,39.38,-14.6387,0.5131,0.5698,0.5725,0.0558
3,17,54.29,-21.3666,0.9999,0.5053,0.7372,0.113
3,18,48.14,-16.0935,0.9999,0.708,0.7083,0.0001
3,19,37.26,-15.7281,0.8401,0.6032,0.6212,0.0001
3,20,71.8,-20.6801,0.9999,0.5543,0.4325,0.1629
3,21,21.83,-18.0268,0.8371,0.5147,0.7724,0.0001
3,22,31.84,-15.2959,0.9999,0.5935,0.6386,0.0001
3,23,31.69,-16.3653,0.9999,0.3601,0.5775,0.0442
3,24,29.26,-17.0169,0.9999,0.7272,0.6134,0.0001
3,25,44.42,-13.8641,0.9999,0.5893,0.5122,0.0001
3,26,36.36,-20.0809,0.9822,0.8426,0.4783,0.0001
3,27,56.95,-14.6232,0.9999,0.4782,0.7295,0.0001
3,28,71.62,-22.1506,0.9999,0.4813,0.6973,0.1341
3,29,50.07,-12.0657,0.9999,0.5308,0.4516,0.0001
3,30,34.1,-18.6707,0.9999,0.8812,0.5222,0.0001
4,1,37.74,-49.9321,0.886,0.6275,0.6168,0.0259
4,2,32.21,-43.7977,0.9999,0.6539,0.589,0.0001
4,3,37.96,-38.3565,0.9999,0.6057,0.4736,0.0001
4,4,33.41,-34.1576,0.967,0.525,0.466,0.0001
4,5,45.66,-45.2172,0.9999,0.5695,0.5267,0.0466
4,6,43.04,-46.1701,0.9748,0.5929,0.4824,0.0378
4,7,34.43,-40.3218,0.9999,0.6392,0.4477,0.0001
4,8,31.11,-45.2833,0.8877,0.6613,0.5962,0.0022
4,9,38.36,-41.7021,0.8502,0.7176,0.404,0.0001
4,10,32.56,-42.6012,0.9921,0.5006,0.6143,0.0095
4,11,47.04,-40.6171,0.9999,0.4667,0.5453,0.0285
4,12,37.76,-50.9753,0.9999,0.6586,0.6456,0.0266
4,13,33.71,-45.1831,0.9524,0.5386,0.7047,0.0001
4,14,40.93,-31.5428,0.9999,0.5112,0.4673,0.0001
4,15,36.41,-51.3361,0.9999,0.6032,0.6548,0.0296
4,16,48.58,-45.7634,0.9999,0.5232,0.6028,0.0305
4,17,36.09,-44.8574,0.9999,0.5983,0.6353,0.0001
4,18,30.33,-39.9422,0.9365,0.5866,0.5772,0.0001
4,19,30.3,-42.4945,0.8911,0.6083,0.6204,0.0001
