k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,43.32,-2.7143,0.9999,0.7993,0.3892,0.3463
1,2,30.71,-2.7067,0.9999,0.3917,0.7962,0.3494
2,1,32.16,-4.5902,0.9999,0.9501,0.7625,0.0001
2,2,31.56,-7.4897,0.9999,0.0814,0.5967,0.0301
2,3,37.72,-7.5439,0.9999,0.6029,0.0789,0.0244
2,4,61.74,-3.8726,0.9999,0.7946,0.776,0.0001
2,5,35.8,-3.9689,0.9999,0.9999,0.7505,0.0001
2,6,29.33,-6.6819,0.9999,0.4813,0.8931,0.0001
2,7,31.68,-5.3132,0.9999,0.8026,0.6986,0.0001
2,8,37.9,-7.5722,0.9999,0.8999,0.3478,0.0001
2,9,35.7,-4.5007,0.9999,0.9949,0.9999,0.0001
2,10,38.31,-1.5031,0.9999,0.9999,0.9999,0.0001
2,11,55.7,-7.0871,0.9108,0.4504,0.7703,0.0355
2,12,46.95,-5.325,0.9999,0.4993,0.8249,0.0001
2,13,33.9,-7.4765,0.9999,0.355,0.8927,0.0001
2,14,27.32,-6.7139,0.9999,0.4818,0.9029,0.0001
2,16,52.82,-3.8719,0.9999,0.7888,0.7887,0.0001
2,17,30.01,-5.4631,0.9999,0.4025,0.6713,0.0001
2,18,31.79,-4.5783,0.9999,0.9419,0.7617,0.0001
2,19,31.75,-4.5007,0.9999,0.9948,0.9999,0.0001
2,20,34.5,-4.614,0.9999,0.6278,0.3146,0.0001
2,21,33.32,-4.6164,0.9999,0.6301,0.3154,0.0001
2,22,58.37,-7.2661,0.9999,0.7304,0.3291,0.0474
2,23,58.41,-7.2596,0.9999,0.7309,0.3237,0.0401
2,24,31.52,-7.4367,0.9999,0.9999,0.4616,0.0001
2,25,36.02,-3.9968,0.9999,0.7448,0.9999,0.0001
2,26,31.71,-7.5104,0.9999,0.0867,0.5911,0.0548
2,27,29.56,-5.4553,0.9999,0.4039,0.6702,0.0001
2,28,40.39,-4.8396,0.9999,0.5428,0.5427,0.0001
2,29,19.65,-0.0009,0.9999,0.9999,0.9999,0.0001
2,30,35.48,-4.5006,0.9999,0.9999,0.9999,0.0001
3,2,49.46,-13.5892,0.9999,0.5816,0.5816,0.0001
3,3,52.51,-7.2594,0.9999,0.3321,0.7264,0.0528
3,4,24.96,-16.2878,0.9999,0.6845,0.7098,0.0001
3,5,27.89,-15.1394,0.9999,0.6957,0.7272,0.0001
3,6,94.63,-25.9132,0.4981,0.5377,0.5383,0.4994
3,7,36.62,-17.6232,0.9999,0.3382,0.6989,0.0001
3,8,30.64,-16.4684,0.9999,0.7071,0.6069,0.0001
3,9,43.66,-16.757,0.9999,0.5873,0.775,0.0001
3,10,38.19,-13.3152,0.9999,0.4879,0.531,0.0001
3,11,52.19,-15.707,0.9999,0.6769,0.2796,0.0001
3,12,32.21,-15.6623,0.9999,0.5237,0.63,0.0102
3,13,34.34,-20.2973,0.9902,0.5084,0.8827,0.0001
3,14,40.82,-15.3484,0.9999,0.4505,0.6677,0.0001
3,15,66.7,-18.6173,0.9999,0.3458,0.7329,0.0105
3,16,37.82,-12.8464,0.9999,0.5007,0.5607,0.0001
3,17,26.77,-18.5723,0.9999,0.8563,0.5707,0.0001
3,18,31.16,-15.9714,0.9999,0.4117,0.7032,0.0001
3,19,34.62,-17.3995,0.9641,0.4888,0.714,0.0053
3,20,41.27,-14.8831,0.9999,0.6239,0.5762,0.0001
3,21,58.77,-20.5497,0.7514,0.6419,0.5013,0.1104
3,22,39.71,-22.1551,0.9999,0.6486,0.8024,0.0635
3,23,35.52,-4.6893,0.9999,0.6852,0.6795,0.0001
3,24,48.88,-20.3611,0.9999,0.6053,0.7328,0.0747
3,25,31.11,-11.0731,0.3764,0.5533,0.6578,0.0001
3,26,78.03,-9.782,0.7343,0.7143,0.8084,0.3835
3,27,47.56,-23.3356,0.9999,0.5695,0.664,0.1247
3,28,28.68,-16.801,0.9999,0.8741,0.7994,0.0052
3,29,79.73,-7.6942,0.4873,0.9999,0.9999,0.485
3,30,37.62,-16.3942,0.9999,0.7105,0.5397,0.0001
