k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,34.71,-2.7251,0.9999,0.3851,0.8038,0.3421
2,1,42.74,-7.4393,0.9999,0.5949,0.0844,0.0345
2,2,63.93,-7.6093,0.5031,0.3727,0.3708,0.5031
2,3,81.4,-5.6137,0.6082,0.6079,0.6066,0.0001
2,4,19.88,-0.0006,0.9999,0.9999,0.9999,0.0001
2,5,27.62,-6.567,0.9999,0.6,0.5131,0.0513
2,6,59.98,-7.867,0.8005,0.2748,0.3047,0.7483
2,7,67.29,-6.8413,0.9999,0.3608,0.5555,0.2632
2,8,95.32,-1.4427,0.9999,0.6205,0.6156,0.8586
2,9,91.72,-9.9031,0.9999,0.5765,0.7892,0.4887
2,10,51.13,-2.7291,0.9999,0.8047,0.3834,0.3409
2,11,71.84,-6.3963,0.9999,0.5886,0.5886,0.2337
2,12,61.02,-7.4795,0.8441,0.2454,0.2688,0.765
2,13,86.39,-9.3943,0.7441,0.4462,0.4378,0.7315
2,14,58.09,-7.4616,0.5521,0.3342,0.3428,0.5577
2,15,51.55,-8.8719,0.9999,0.3096,0.6047,0.3538
2,16,85.44,-7.1014,0.9999,0.2814,0.2389,0.7803
2,17,66.56,-7.8655,0.7908,0.2803,0.2965,0.7562
2,18,27.95,-6.8042,0.9999,0.4795,0.895,0.0052
2,19,87.47,-7.979,0.9999,0.9999,0.905,0.4339
2,20,52.59,-10.0234,0.7467,0.6282,0.2471,0.2591
2,21,59.56,-7.8397,0.828,0.2856,0.2852,0.7242
2,22,60.16,-5.2162,0.9999,0.1125,0.22,0.4432
2,23,34.13,-4.639,0.9999,0.6304,0.3102,0.0001
2,24,46.32,-5.3235,0.9999,0.4993,0.8249,0.0001
2,25,29.12,-5.4788,0.9999,0.3954,0.6677,0.0001
2,26,59.92,-4.7349,0.4848,0.4843,0.4851,0.0001
2,27,32.9,-4.5832,0.9999,0.6306,0.324,0.0001
2,28,76.57,-8.9107,0.536,0.5174,0.5159,0.4968
2,29,58.3,-5.8432,0.9999,0.3355,0.291,0.3028
2,30,79.67,-9.766,0.9999,0.4469,0.5817,0.6107
3,1,58.49,-8.6074,0.9999,0.5328,0.5055,0.5025
3,2,75.58,-21.0107,0.9999,0.371,0.4067,0.359
3,3,65.51,-18.4267,0.9999,0.3333,0.4534,0.2499
