k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,72.55,-0.2711,0.9999,0.0001,0.0001,0.7628
1,2,98.16,-1.4427,0.9999,0.6206,0.6155,0.8586
1,3,48.36,-2.7381,0.9999,0.8081,0.3804,0.3385
1,4,96.48,-1.4427,0.9999,0.6205,0.6156,0.8586
1,5,48.44,-2.7264,0.9999,0.8038,0.3842,0.3415
1,6,48.16,-2.7305,0.9999,0.8053,0.3826,0.34
1,7,72.97,-0.2711,0.9999,0.0001,0.0001,0.7628
1,8,72.39,-0.2711,0.9999,0.0001,0.0001,0.7628
1,9,35.33,-2.7008,0.9999,0.394,0.7949,0.3508
2,1,53.36,-5.2326,0.9999,0.1106,0.2204,0.441
2,2,79.13,-1.3074,0.9999,0.0001,0.0001,0.7261
2,3,54.16,-5.8527,0.9999,0.2969,0.3452,0.3087
2,4,92.68,-5.7339,0.9999,0.2638,0.2544,0.6536
2,5,103.25,-8.7488,0.9999,0.4002,0.3938,0.7994
2,6,79.07,-1.3074,0.9999,0.0001,0.0001,0.7261
2,7,45.07,-7.2477,0.9999,0.247,0.2597,0.646
2,8,71.39,-8.9139,0.5096,0.5095,0.5102,0.5103
2,9,71.8,-6.8035,0.9999,0.3607,0.5635,0.2638
2,10,60.78,-6.9487,0.9999,0.2821,0.2373,0.7782
2,11,52.58,-8.5994,0.9999,0.3251,0.4501,0.5779
2,12,117.39,-8.2411,0.9999,0.5827,0.6009,0.8564
2,13,55.19,-7.8684,0.7983,0.2794,0.3004,0.7512
2,14,64.55,-0.2711,0.9999,0.0001,0.0001,0.7628
2,15,50.8,-6.8614,0.9999,0.2596,0.2555,0.5686
2,16,66.76,-7.8334,0.9999,0.366,0.3535,0.8122
2,17,76.56,-6.9683,0.9999,0.3356,0.384,0.8251
2,18,79.39,-1.3074,0.9999,0.0001,0.0001,0.7261
2,19,22.58,-6.3706,0.9999,0.5115,0.648,0.0269
2,20,46.77,-7.963,0.9999,0.4124,0.4066,0.4787
2,21,79.52,-1.3074,0.9999,0.0001,0.0001,0.7261
2,22,87.36,-6.9836,0.9999,0.3454,0.3692,0.8277
2,23,51.55,-7.8393,0.8288,0.2803,0.2895,0.7376
2,24,80.05,-9.8824,0.9999,0.5784,0.7868,0.4917
2,25,70.44,-8.9138,0.5193,0.5166,0.5173,0.5148
2,26,55.25,-7.8589,0.7994,0.2851,0.2882,0.7532
2,27,24.65,-6.6421,0.9999,0.519,0.6021,0.0624
2,28,84.24,-6.1467,0.9999,0.2839,0.2859,0.6422
2,29,59.33,-5.086,0.9999,0.1513,0.1147,0.7608
2,30,64.52,-0.2711,0.9999,0.0001,0.0001,0.7628
3,1,58.42,-19.7488,0.9999,0.2174,0.2213,0.7708
3,2,94.24,-29.3186,0.9999,0.5397,0.671,0.3249
3,3,49.43,-18.1334,0.9999,0.2653,0.326,0.3502
3,4,56.11,-20.8057,0.9999,0.2862,0.3563,0.4267
3,5,66.13,-13.1869,0.9999,0.1258,0.1468,0.7607
3,6,54.96,-17.1437,0.9999,0.1871,0.2445,0.5836
3,7,60.63,-17.684,0.9999,0.2211,0.1908,0.6281
3,8,63.62,-26.7484,0.9999,0.3774,0.3874,0.615
3,9,67.77,-24.2566,0.9999,0.2941,0.2894,0.7852
3,10,61.05,-14.4855,0.9999,0.1884,0.1318,0.6122
3,11,58.99,-14.2834,0.9999,0.1946,0.1295,0.5972
3,12,80.65,-24.3837,0.9999,0.3658,0.286,0.6219
3,13,86.72,-19.1446,0.9999,0.2338,0.2361,0.7188
3,14,61.06,-16.2847,0.9999,0.1653,0.1814,0.7743
3,15,62.33,-27.3303,0.8227,0.3636,0.359,0.8087
3,16,55.91,-20.828,0.9999,0.2765,0.3782,0.4423
3,17,79.11,-21.1976,0.9999,0.3763,0.3626,0.4477
3,18,56.44,-20.3314,0.9431,0.2097,0.2431,0.7637
3,19,68.77,-28.495,0.9999,0.3452,0.4477,0.6407
3,20,69.29,-22.0259,0.9999,0.2688,0.2992,0.6204
3,21,64.65,-20.8146,0.9999,0.2792,0.2734,0.6497
3,22,60.99,-21.1637,0.9999,0.2536,0.222,0.7922
3,23,77.55,-22.41,0.9999,0.4921,0.4755,0.293
3,24,75.16,-26.1473,0.9999,0.3285,0.3454,0.8023
3,25,49.87,-19.5809,0.9999,0.2118,0.2353,0.6964
3,26,59.72,-26.3035,0.9999,0.3774,0.4135,0.5912
3,27,62.89,-19.5698,0.9999,0.3316,0.2583,0.5026
3,28,54.7,-19.8783,0.9999,0.4168,0.4184,0.255
3,29,77.96,-12.6517,0.9999,0.1204,0.1713,0.6417
3,30,71.46,-24.0226,0.9999,0.3398,0.3306,0.6975
4,1,74.21,-67.5858,0.7215,0.3624,0.3655,0.7161
4,2,61.49,-48.695,0.9999,0.2571,0.2234,0.6238
4,3,64.08,-67.9078,0.9999,0.3407,0.3055,0.6545
4,4,61.68,-66.0297,0.9999,0.2737,0.2676,0.795
