k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,34.55,-2.7355,0.9999,0.379,0.8103,0.3272
1,2,19.7,-0.0008,0.9999,0.9999,0.9999,0.0001
1,3,96.08,-1.4427,0.9999,0.6208,0.6153,0.8586
1,4,95.32,-1.4427,0.9999,0.6155,0.6207,0.8586
1,5,73.05,-0.2711,0.9999,0.0001,0.0001,0.7628
1,6,128.1,-0.0425,0.9999,0.9999,0.9999,0.9587
1,7,73.02,-0.2711,0.9999,0.0001,0.0001,0.7628
1,8,73.14,-0.2711,0.9999,0.0001,0.0001,0.7628
1,9,72.59,-0.2711,0.9999,0.0001,0.0001,0.7628
1,10,72.89,-0.2711,0.9999,0.0001,0.0001,0.7628
1,11,96.37,-1.4427,0.9999,0.6154,0.6207,0.8586
1,12,96.02,-1.4427,0.9999,0.6153,0.6208,0.8586
1,13,72.91,-0.2711,0.9999,0.0001,0.0001,0.7628
1,14,96.76,-1.4427,0.9999,0.6155,0.6206,0.8586
1,15,78.95,-0.2711,0.9999,0.0001,0.0001,0.7628
1,16,34.36,-2.7386,0.9999,0.3796,0.8079,0.3365
1,17,72.41,-0.2711,0.9999,0.0001,0.0001,0.7628
2,1,57.18,-8.2921,0.9999,0.3768,0.4023,0.5679
2,2,66.19,-6.9435,0.9999,0.2336,0.2883,0.78
2,3,56.74,-8.3028,0.9999,0.4059,0.3737,0.5728
2,4,116.81,-6.6641,0.9999,0.3596,0.2327,0.6272
2,5,61.77,-7.866,0.8015,0.2831,0.3003,0.7556
2,6,88.31,-1.3074,0.9999,0.0001,0.0001,0.7261
2,7,67.65,-7.0034,0.9999,0.2347,0.2881,0.7763
2,8,85.82,-4.3454,0.9999,0.1428,0.1322,0.7219
2,9,67.65,-6.5463,0.9999,0.2565,0.223,0.7901
2,10,64.53,-5.0962,0.9999,0.1105,0.1564,0.762
2,11,54.92,-5.8524,0.9999,0.3099,0.3099,0.3347
2,12,103.18,-5.7335,0.9999,0.2582,0.2584,0.648
2,13,95.43,-6.9861,0.9999,0.352,0.3627,0.8277
2,14,104.09,-5.7341,0.9999,0.2584,0.2586,0.6482
2,15,67.72,-6.5362,0.9999,0.2493,0.2277,0.7901
2,16,88.27,-1.3074,0.9999,0.0001,0.0001,0.7261
2,17,111.45,-7.724,0.9999,0.3823,0.4117,0.8224
2,18,88.13,-1.3074,0.9999,0.0001,0.0001,0.7261
2,19,94.97,-1.4427,0.9999,0.6206,0.6155,0.8586
2,20,103.6,-9.1765,0.9999,0.5753,0.6214,0.832
2,21,67.48,-5.077,0.9999,0.1503,0.1152,0.7606
2,22,71.41,-7.8458,0.9999,0.3556,0.367,0.8001
2,23,34.97,-4.0676,0.9999,0.2883,0.2884,0.0001
2,24,70.49,-6.5545,0.9999,0.2215,0.2583,0.7894
2,25,61.4,-7.8687,0.8002,0.2767,0.2999,0.7488
2,26,130.57,-8.2419,0.9999,0.5924,0.5959,0.8521
2,27,51.02,-7.8436,0.2851,0.9999,0.9999,0.2871
2,28,49.28,-7.2457,0.9999,0.2566,0.2499,0.636
2,29,70.97,-6.5458,0.9999,0.2566,0.2217,0.7896
2,30,90.91,-5.6211,0.9999,0.2468,0.2444,0.8054
3,2,70.82,-20.3308,0.9999,0.2191,0.2574,0.7832
3,3,84.68,-16.5057,0.9999,0.1913,0.1748,0.7445
3,4,86.25,-29.7762,0.8936,0.3927,0.3856,0.8179
3,5,69.16,-19.9038,0.9999,0.2285,0.2053,0.7721
3,6,76.42,-25.0954,0.9999,0.325,0.2849,0.7996
3,7,82.28,-24.1669,0.9999,0.3699,0.3349,0.5161
3,8,77.36,-13.1943,0.9999,0.1357,0.1321,0.7542
3,9,60.6,-14.6119,0.9999,0.1363,0.1605,0.667
3,10,72.79,-11.5389,0.9999,0.0938,0.1058,0.7432
3,11,63.23,-19.8719,0.9999,0.243,0.1977,0.7687
3,12,50.56,-19.7833,0.9999,0.2411,0.2536,0.5832
3,13,50.36,-21.0634,0.9999,0.3316,0.2598,0.5152
3,14,69.36,-24.0274,0.9999,0.283,0.305,0.7893
3,15,82.62,-12.5343,0.9999,0.1753,0.1414,0.5309
3,16,68.33,-27.2962,0.9999,0.3714,0.3746,0.625
3,17,63.93,-20.7844,0.9999,0.3184,0.2585,0.5886
3,18,68.38,-21.3698,0.9999,0.226,0.2618,0.7752
3,19,77.09,-22.0694,0.9999,0.2715,0.2499,0.8115
3,20,70.12,-24.213,0.9111,0.2952,0.2818,0.7917
3,21,69.59,-22.3937,0.9999,0.3542,0.3644,0.4952
3,22,79.82,-18.2223,0.9999,0.2057,0.2171,0.7908
3,23,59.87,-16.225,0.9999,0.2038,0.1792,0.6411
3,24,76.25,-13.8769,0.9999,0.2284,0.1606,0.4337
3,25,83.44,-23.6659,0.9999,0.2688,0.3033,0.7915
3,26,60.12,-16.1623,0.9999,0.2173,0.2152,0.5061
3,27,87.43,-28.8046,0.9999,0.3685,0.3763,0.7984
3,28,61.92,-17.4782,0.9999,0.1708,0.1868,0.7666
3,29,84.03,-24.0235,0.9999,0.2764,0.3129,0.7847
3,30,70.04,-22.2498,0.9999,0.3032,0.3219,0.5276
4,1,74.22,-50.7921,0.9999,0.2013,0.1973,0.7802
4,2,66.71,-47.0434,0.9999,0.1825,0.1955,0.7683
4,3,82.59,-63.3348,0.9999,0.2495,0.2469,0.7923
4,4,73.7,-75.7712,0.9999,0.3275,0.3031,0.808
4,5,68.55,-51.4827,0.9999,0.2085,0.2008,0.7799
4,6,89.88,-60.4322,0.9999,0.2392,0.2568,0.7941
4,7,69.76,-53.2917,0.9999,0.2138,0.2138,0.79
4,8,80.08,-49.1657,0.9999,0.2045,0.1922,0.7824
4,9,79.4,-49.5038,0.9999,0.2135,0.2209,0.69
4,10,78.9,-53.2275,0.9999,0.2309,0.2419,0.717
4,11,72.46,-52.2614,0.9999,0.228,0.1927,0.7514
4,12,68.99,-46.8111,0.9999,0.1969,0.1773,0.7803
4,13,61.24,-50.3417,0.9999,0.2314,0.2365,0.6034
4,14,65.65,-44.288,0.9999,0.1888,0.1656,0.7676
4,15,70.17,-54.0592,0.9999,0.2205,0.2056,0.7784
4,16,67.23,-55.6265,0.9999,0.2538,0.2433,0.6483
4,17,73.48,-52.9317,0.9999,0.2162,0.2568,0.6912
4,18,65.82,-39.8037,0.9999,0.2243,0.2047,0.5053
4,19,77.42,-74.776,0.8793,0.3802,0.3698,0.6507
4,20,74.7,-49.991,0.9999,0.2042,0.1994,0.7754
4,21,73.1,-55.3267,0.9999,0.2946,0.2777,0.5525
4,22,80.61,-49.2992,0.9999,0.201,0.199,0.7767
4,23,72.43,-49.831,0.9999,0.2098,0.2314,0.6952
4,24,67.38,-55.9781,0.9999,0.2452,0.2877,0.6519
4,25,61.81,-54.5499,0.9999,0.2068,0.215,0.779
4,26,67.88,-50.3851,0.9999,0.1999,0.1991,0.7977
4,27,63.94,-43.6692,0.9999,0.2502,0.242,0.4892
4,28,69.63,-60.2886,0.9999,0.2402,0.2509,0.7875
4,29,59.1,-45.2849,0.9999,0.1841,0.1811,0.7046
4,30,62.99,-49.3514,0.9999,0.2397,0.3165,0.4816
5,1,66.07,-135.856,0.9999,0.221,0.226,0.6981
5,2,68.68,-156.4003,0.9813,0.2791,0.2505,0.6535
5,3,76.57,-160.9781,0.9999,0.2405,0.2513,0.7503
5,4,69.09,-154.2185,0.9999,0.2798,0.2519,0.6318
5,5,64.39,-124.5976,0.9999,0.2131,0.2293,0.6807
5,6,66.17,-138.9918,0.9999,0.2678,0.2343,0.6541
5,7,70.54,-128.7569,0.9999,0.2037,0.2084,0.7496
5,8,63.97,-131.2286,0.9999,0.2489,0.2451,0.6226
5,9,63.09,-129.6557,0.9999,0.2617,0.2223,0.6399
5,10,71.45,-172.6935,0.9999,0.3117,0.3213,0.6152
5,11,73.39,-152.8703,0.9999,0.2276,0.2291,0.7574
5,12,65.79,-135.8227,0.9999,0.2392,0.2323,0.6775
5,13,75.11,-151.307,0.9999,0.2383,0.2485,0.7441
5,14,67.68,-132.9138,0.9947,0.2288,0.2261,0.6542
5,15,67.1,-134.9989,0.9999,0.2607,0.2785,0.5482
5,16,62.84,-124.2173,0.9999,0.2425,0.2585,0.5622
5,17,73.15,-151.6027,0.9999,0.2369,0.2235,0.769
5,18,79.45,-147.985,0.9999,0.2154,0.2362,0.7887
5,19,78.35,-165.7621,0.9999,0.2607,0.2598,0.7358
5,20,65.37,-116.692,0.9999,0.1818,0.1783,0.7523
5,21,76.96,-144.2704,0.9999,0.2163,0.2233,0.777
5,22,72.99,-157.2435,0.9999,0.2545,0.2597,0.7091
5,23,65.07,-124.7308,0.9999,0.2296,0.2358,0.6205
5,24,79.31,-185.1598,0.9999,0.3016,0.3041,0.693
5,25,61.11,-103.6252,0.9999,0.1679,0.1785,0.7371
5,26,72.53,-148.8394,0.9999,0.2047,0.2378,0.7813
5,27,73.88,-171.6535,0.9999,0.3014,0.2829,0.6611
5,28,79.55,-162.2509,0.9999,0.2491,0.2412,0.7884
5,29,71.37,-178.7774,0.9999,0.2982,0.3004,0.6749
5,30,57.58,-107.2296,0.9999,0.1962,0.2017,0.6094
6,1,79.65,-360.7644,0.9999,0.2338,0.2184,0.7512
6,2,80.3,-436.8422,0.9999,0.2739,0.2817,0.7011
6,3,86.3,-36.7238,0.9999,0.0415,0.0486,0.6657
6,4,97.1,-32.3197,0.9999,0.0317,0.0369,0.684
6,5,115.6,-28.1545,0.9999,0.0176,0.0331,0.7266
