k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,34.5,-2.7021,0.9999,0.3938,0.7963,0.3498
1,2,72.72,-0.2711,0.9999,0.0001,0.0001,0.7628
1,3,72.16,-0.2711,0.9999,0.0001,0.0001,0.7628
1,4,95.11,-1.4427,0.9999,0.6207,0.6155,0.8586
1,5,95.27,-1.4427,0.9999,0.6145,0.6216,0.8586
1,6,48.02,-2.7152,0.9999,0.7995,0.3889,0.3456
1,7,127.02,-0.0425,0.9999,0.9999,0.9999,0.9587
2,1,82.57,-6.8022,0.9999,0.5647,0.3619,0.2659
2,3,60.46,-7.2163,0.9999,0.9999,0.9999,0.3635
2,4,40.51,-4.8395,0.9999,0.5427,0.5427,0.0001
2,5,92.96,-7.0216,0.9999,0.3502,0.3544,0.3322
2,6,53.18,-8.7758,0.9999,0.8664,0.6389,0.204
2,7,89.2,-1.0956,0.9999,0.0001,0.0001,0.7606
2,8,85.17,-8.5297,0.9999,0.491,0.422,0.8217
2,9,96.98,-7.56,0.9999,0.5776,0.4166,0.2678
2,10,66.51,-8.0269,0.9999,0.576,0.5785,0.3622
2,11,84.63,-4.3466,0.9999,0.1333,0.1434,0.7086
2,12,119.58,-6.6624,0.9999,0.3595,0.2331,0.6239
2,13,93.6,-9.718,0.5348,0.6393,0.6406,0.5354
2,14,62.95,-5.2974,0.9999,0.2276,0.1022,0.4341
2,15,103.7,-9.8834,0.6203,0.9934,0.9819,0.618
2,16,56.24,-7.4839,0.847,0.2423,0.2731,0.7639
2,17,33.28,-4.6043,0.9999,0.6238,0.3145,0.0001
2,18,45.06,-6.0573,0.9999,0.9627,0.9999,0.1812
2,19,86.07,-9.7191,0.5248,0.6405,0.6309,0.5389
2,20,99.58,-10.4165,0.7995,0.6747,0.6533,0.7382
2,21,84.99,-8.6098,0.9999,0.4227,0.3734,0.8009
2,22,93.33,-8.5889,0.9999,0.4539,0.4708,0.8182
2,23,93.82,-8.7412,0.9999,0.3695,0.427,0.7945
2,24,46.64,-5.3267,0.9999,0.4943,0.8196,0.0001
2,25,120.22,-8.4076,0.9999,0.6165,0.6043,0.8561
2,26,81.96,-7.9971,0.9999,0.3745,0.3462,0.8021
2,27,81.4,-6.5668,0.9999,0.4236,0.2512,0.3071
2,28,60.71,-5.8428,0.9999,0.2912,0.336,0.3022
2,29,117.03,-6.6622,0.9999,0.3589,0.2327,0.6224
2,30,79.93,-9.6811,0.9999,0.4928,0.585,0.5473
3,1,68.44,-17.8549,0.9999,0.1907,0.1995,0.6819
3,2,72.3,-20.5593,0.9999,0.4135,0.4946,0.2369
3,3,81.52,-29.9199,0.9999,0.6129,0.526,0.3672
3,4,67.78,-24.6978,0.9999,0.3131,0.3031,0.7998
3,5,75.47,-20.3492,0.9999,0.3035,0.2641,0.5374
3,6,139.11,-36.0265,0.9999,0.5485,0.5407,0.8329
3,7,80.64,-28.9444,0.7577,0.4153,0.406,0.7384
3,8,63.94,-27.277,0.6967,0.6973,0.8404,0.1654
3,9,82.84,-25.9335,0.9999,0.338,0.334,0.8037
3,10,91.58,-32.7024,0.9999,0.4882,0.5063,0.6562
3,11,65.36,-23.3725,0.9999,0.5282,0.5592,0.2037
3,12,86.01,-26.5759,0.9999,0.55,0.5182,0.3889
3,13,87.15,-32.1071,0.9999,0.4843,0.5331,0.5375
3,14,65.29,-25.8098,0.9999,0.3663,0.3749,0.5196
3,15,68.63,-27.5153,0.9999,0.5036,0.5592,0.3707
3,16,58.39,-19.9842,0.9999,0.2993,0.3997,0.3443
3,17,29.66,-16.9618,0.9999,0.7158,0.5325,0.0001
3,18,80.22,-29.222,0.9854,0.3569,0.3845,0.7557
3,19,108.72,-34.6854,0.7697,0.5221,0.5333,0.7593
3,20,69.97,-20.2345,0.9999,0.4036,0.4339,0.29
3,21,81.84,-30.7217,0.9999,0.5416,0.5464,0.4733
3,22,86.07,-18.1056,0.9999,0.5755,0.4988,0.0948
3,23,65.53,-29.6356,0.9999,0.4624,0.725,0.2572
3,24,71.27,-28.2228,0.9999,0.4876,0.4735,0.4422
3,25,41.72,-25.6144,0.6322,0.8236,0.8362,0.1372
3,26,75.43,-24.7428,0.9999,0.3978,0.3885,0.4748
3,27,90.14,-24.0739,0.4999,0.499,0.5,0.4977
3,28,103.08,-29.4967,0.9999,0.5198,0.5824,0.4038
3,29,82.19,-31.2888,0.9999,0.6014,0.7484,0.3063
3,30,74.08,-27.7739,0.9999,0.4616,0.4465,0.5069
