k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,96.5,-1.4427,0.9999,0.6206,0.6155,0.8586
1,2,141.92,-0.0425,0.9999,0.9999,0.9999,0.9587
1,3,48.93,-2.7273,0.9999,0.8044,0.3841,0.3415
1,4,73.57,-0.2711,0.9999,0.0001,0.0001,0.7628
1,5,73.14,-0.2711,0.9999,0.0001,0.0001,0.7628
1,6,33.87,-2.7318,0.9999,0.3819,0.8062,0.3371
1,7,83.79,-0.2711,0.9999,0.0001,0.0001,0.7628
1,8,96.63,-1.4427,0.9999,0.6206,0.6155,0.8586
1,9,98.48,-1.4427,0.9999,0.6208,0.6153,0.8586
1,10,144.29,-0.0425,0.9999,0.9999,0.9999,0.9587
1,11,98.24,-1.4427,0.9999,0.6206,0.6155,0.8586
2,2,77.03,-7.9017,0.9999,0.3338,0.3858,0.8014
2,3,60.86,-5.844,0.9999,0.3052,0.3135,0.33
2,4,110.41,-6.1477,0.9999,0.2837,0.2888,0.6424
2,5,68.08,-6.9476,0.9999,0.2372,0.2821,0.7813
2,6,85.14,-7.9665,0.9999,0.3681,0.3486,0.8069
2,7,56.06,-5.2309,0.9999,0.7445,0.7445,0.0001
2,8,74.82,-6.5493,0.9999,0.2596,0.2207,0.7906
2,9,61.95,-8.5919,0.9999,0.324,0.4508,0.5812
2,10,38.96,-7.4656,0.9999,0.5879,0.0846,0.042
2,11,59.2,-5.8453,0.9999,0.3392,0.291,0.3025
2,12,87.09,-5.6089,0.9999,0.2422,0.2457,0.8063
2,13,80.55,-8.047,0.9999,0.3262,0.4004,0.7934
2,14,87.0,-9.3942,0.7446,0.4377,0.4455,0.7465
2,15,173.55,-7.6566,0.9999,0.8579,0.8753,0.884
2,16,149.51,-7.6216,0.9999,0.458,0.444,0.5521
2,17,83.66,-8.0316,0.9999,0.386,0.3301,0.8049
2,18,124.15,-10.3221,0.7774,0.79,0.7834,0.792
2,19,95.43,-6.146,0.9999,0.2862,0.2835,0.6436
2,20,79.89,-8.0235,0.9999,0.3339,0.3926,0.794
2,21,74.82,-9.8842,0.9999,0.4687,0.6274,0.5362
2,22,100.5,-7.2244,0.9999,0.5057,0.5057,0.2594
2,23,48.47,-2.7297,0.9999,0.8049,0.3834,0.3405
2,24,91.87,-9.3946,0.7446,0.4448,0.4444,0.7424
2,25,57.57,-7.9124,0.9999,0.5308,0.4158,0.3272
2,26,48.77,-7.4632,0.9999,0.7146,0.9151,0.2105
2,27,64.7,-9.2463,0.9999,0.4333,0.5821,0.5758
3,1,82.21,-24.8772,0.9767,0.4742,0.4259,0.3462
3,2,67.04,-19.4492,0.9999,0.1901,0.2339,0.7701
3,3,59.41,-25.9215,0.9999,0.3253,0.39,0.6054
3,4,95.48,-26.8201,0.9999,0.4601,0.3154,0.6318
3,5,86.96,-26.811,0.9999,0.3984,0.4435,0.4793
3,6,115.0,-25.8138,0.9999,0.4234,0.4971,0.3572
3,7,84.6,-28.7304,0.9999,0.4124,0.3551,0.7028
3,8,91.86,-32.0663,0.9773,0.6277,0.6437,0.3393
3,9,86.19,-21.5122,0.9999,0.2613,0.2505,0.7753
3,10,78.16,-24.2187,0.9999,0.4143,0.4582,0.3235
3,11,99.05,-29.9521,0.9999,0.4751,0.4414,0.5418
3,12,55.37,-22.4248,0.8162,0.283,0.2914,0.7474
3,13,74.33,-27.6209,0.8115,0.3697,0.3717,0.7993
3,14,45.86,-23.5624,0.8621,0.5708,0.6362,0.1547
3,15,80.6,-26.8619,0.9999,0.3152,0.6638,0.2365
3,16,77.29,-29.2582,0.9999,0.4421,0.496,0.4755
3,17,95.72,-33.2702,0.9999,0.4577,0.493,0.7142
