k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,73.66,-0.2711,0.9999,0.0001,0.0001,0.7628
1,2,76.15,-0.2711,0.9999,0.0001,0.0001,0.7628
1,3,19.69,-0.0007,0.9999,0.9999,0.9999,0.0001
1,4,127.99,-0.0425,0.9999,0.9999,0.9999,0.9587
1,5,73.04,-0.2711,0.9999,0.0001,0.0001,0.7628
1,6,96.31,-1.4427,0.9999,0.6157,0.6206,0.8586
1,7,73.31,-0.2711,0.9999,0.0001,0.0001,0.7628
1,8,96.42,-1.4427,0.9999,0.6156,0.6206,0.8586
1,9,72.46,-0.2711,0.9999,0.0001,0.0001,0.7628
1,10,19.64,-0.0006,0.9999,0.9999,0.9999,0.0001
2,1,61.78,-9.3874,0.7595,0.579,0.6896,0.3422
2,2,67.5,-8.9452,0.8255,0.3825,0.3944,0.7799
2,3,34.78,-4.0688,0.9999,0.289,0.2888,0.0001
2,4,83.12,-9.2921,0.4905,0.9999,0.9999,0.4896
2,5,62.49,-7.6103,0.5037,0.373,0.3785,0.5085
2,6,32.65,-4.6161,0.9999,0.6302,0.3155,0.0001
2,7,67.61,-7.4787,0.8411,0.2606,0.261,0.7638
2,8,67.72,-9.2804,0.9999,0.4845,0.4787,0.6644
2,9,95.69,-10.0829,0.7556,0.5532,0.5409,0.7558
2,10,60.68,-5.8409,0.9999,0.2912,0.3373,0.3022
2,11,79.51,-7.9558,0.9999,0.9999,0.905,0.4132
2,12,85.32,-4.3462,0.9999,0.1339,0.1396,0.7139
2,13,75.25,-7.8855,0.9999,0.3836,0.3383,0.8058
2,14,66.86,-5.0751,0.9999,0.1478,0.1155,0.7614
2,15,32.85,-2.7169,0.9999,0.3884,0.8,0.3457
2,16,62.83,-5.1013,0.9999,0.1089,0.1562,0.7613
2,17,72.34,-9.9005,0.9999,0.4485,0.6745,0.4837
2,18,79.61,-8.914,0.5191,0.5149,0.5194,0.5194
2,19,110.18,-9.2788,0.9999,0.5016,0.4973,0.8145
2,20,72.0,-0.2711,0.9999,0.0001,0.0001,0.7628
2,21,170.36,-7.5823,0.9999,0.7405,0.736,0.4088
2,22,105.04,-7.1997,0.9999,0.3437,0.4865,0.5585
2,23,78.91,-9.0192,0.9999,0.5594,0.7781,0.5928
2,24,77.92,-7.0427,0.9999,0.2505,0.265,0.7798
2,25,85.74,-4.3472,0.9999,0.1394,0.134,0.7217
2,26,121.41,-8.2334,0.9999,0.4947,0.4998,0.8394
2,27,41.18,-4.8399,0.9999,0.5427,0.5427,0.0001
2,28,75.32,-7.8993,0.9999,0.3827,0.3377,0.8058
3,1,57.3,-19.9986,0.9999,0.5038,0.377,0.1652
3,2,75.68,-28.3653,0.9999,0.4471,0.4276,0.5148
3,3,69.21,-15.8524,0.9999,0.2066,0.203,0.5905
3,4,72.94,-23.1631,0.9999,0.298,0.3714,0.5492
3,5,100.48,-23.4221,0.9999,0.3197,0.3522,0.562
3,6,96.04,-32.3566,0.9999,0.4249,0.4827,0.7928
3,7,103.83,-31.0915,0.7245,0.4669,0.467,0.7242
3,8,83.46,-26.7496,0.9999,0.364,0.3499,0.8148
3,9,69.25,-17.6919,0.9999,0.2317,0.2332,0.5908
3,10,87.07,-31.8207,0.9999,0.5211,0.6058,0.458
3,11,56.79,-17.6597,0.9999,0.2565,0.309,0.3836
3,12,80.44,-29.0713,0.9999,0.3635,0.3964,0.7467
3,13,79.41,-25.3409,0.9999,0.3484,0.4177,0.5072
3,14,79.95,-22.8508,0.9999,0.3089,0.3277,0.6699
3,15,96.22,-22.1695,0.9999,0.3696,0.3742,0.4381
3,16,64.37,-11.3063,0.9999,0.0877,0.1706,0.4556
3,17,69.99,-15.3167,0.9999,0.3071,0.3779,0.2018
3,18,76.8,-25.5331,0.9999,0.3932,0.494,0.417
3,19,73.29,-28.1178,0.9999,0.4706,0.4833,0.4263
3,20,92.33,-28.144,0.9131,0.6189,0.6546,0.2449
3,21,97.19,-31.1685,0.9999,0.4178,0.4041,0.8007
3,22,77.87,-23.5268,0.9018,0.4221,0.3759,0.3962
3,23,78.48,-24.3568,0.9999,0.4469,0.3834,0.4101
