k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
2,1,28.22,-7.4329,0.9999,0.9999,0.462,0.0001
2,2,24.54,-6.5611,0.9999,0.5985,0.5144,0.0504
2,3,59.65,-9.5415,0.9999,0.7256,0.3633,0.3981
2,4,85.42,-1.4427,0.9999,0.6206,0.6155,0.8586
2,5,44.72,-8.3004,0.9999,0.6982,0.7845,0.2149
2,6,69.61,-5.614,0.6012,0.5999,0.6007,0.0001
2,7,30.27,-4.6905,0.9999,0.6792,0.684,0.0001
2,8,56.21,-5.303,0.9999,0.2294,0.1016,0.4311
2,9,27.63,-1.501,0.0001,0.9999,0.9999,0.0001
2,10,46.29,-7.3816,0.9999,0.3269,0.7316,0.0619
2,11,49.11,-5.7624,0.3422,0.9999,0.9999,0.3135
2,12,33.79,-5.6345,0.9999,0.2932,0.5187,0.0279
2,13,73.33,-8.9137,0.5117,0.5091,0.5107,0.5112
2,15,47.12,-7.456,0.5583,0.3373,0.3295,0.5591
2,16,27.48,-6.8152,0.9999,0.8597,0.4971,0.0148
2,17,48.84,-8.7608,0.9999,0.5309,0.319,0.4648
2,18,107.36,-7.6843,0.9999,0.7632,0.4986,0.2338
2,19,23.4,-4.0143,0.2397,0.9999,0.929,0.0023
2,20,41.05,-5.3278,0.9999,0.8197,0.4942,0.0001
2,21,28.02,-4.5677,0.9999,0.9364,0.7618,0.0001
2,22,34.36,-5.9072,0.81,0.9543,0.7534,0.0001
2,23,56.18,-5.2925,0.9999,0.2283,0.1037,0.4339
2,24,50.34,-7.8402,0.2821,0.9999,0.9999,0.2829
2,25,79.33,-1.3074,0.9999,0.0001,0.0001,0.7261
2,26,43.55,-8.1923,0.9999,0.7396,0.7449,0.2048
2,27,51.77,-7.4743,0.8404,0.2708,0.2429,0.7809
2,28,33.74,-7.5567,0.9999,0.5925,0.0832,0.0462
2,29,23.36,-3.4432,0.9999,0.3473,0.3347,0.0001
2,30,42.59,-8.3871,0.8672,0.5937,0.4079,0.2585
3,1,80.66,-21.3092,0.6696,0.4763,0.4373,0.3227
3,2,44.59,-22.185,0.9999,0.6153,0.4999,0.1335
3,3,37.46,-16.1864,0.9091,0.6124,0.6501,0.0001
3,4,23.86,-15.5993,0.5083,0.7655,0.7956,0.0001
3,5,88.27,-27.2785,0.758,0.6528,0.5735,0.2805
3,6,56.1,-24.5038,0.721,0.5759,0.5382,0.2804
3,7,32.78,-14.4877,0.6698,0.6606,0.5163,0.0001
3,8,24.36,-17.5338,0.9995,0.6755,0.6248,0.0131
3,9,28.33,-13.8501,0.8218,0.5379,0.4934,0.0001
3,10,70.02,-22.686,0.7796,0.5915,0.4201,0.2436
3,11,45.18,-23.1304,0.9999,0.4187,0.5899,0.1772
3,12,79.15,-28.6161,0.6625,0.4566,0.4515,0.6554
3,13,39.16,-23.7313,0.2884,0.9999,0.9999,0.227
3,14,30.0,-13.71,0.5431,0.6525,0.5106,0.0146
3,15,74.46,-31.0579,0.6605,0.7489,0.6371,0.3672
3,16,34.28,-16.9237,0.734,0.5785,0.7025,0.0095
3,17,51.28,-21.7312,0.9999,0.4481,0.3434,0.3293
3,18,23.82,-16.7461,0.663,0.7752,0.5909,0.0001
3,19,75.08,-20.9849,0.9559,0.3085,0.3763,0.3714
3,20,81.29,-30.1725,0.6091,0.6385,0.6566,0.4243
3,21,59.91,-24.1634,0.9278,0.668,0.4218,0.161
3,22,47.98,-15.7424,0.9999,0.3566,0.2431,0.2437
3,23,90.11,-18.9403,0.9999,0.4946,0.3231,0.1818
3,24,34.8,-17.5801,0.9999,0.5682,0.5082,0.0438
3,25,23.08,-11.6668,0.2816,0.6838,0.7622,0.0001
3,26,29.89,-15.2979,0.6159,0.6618,0.6553,0.0001
3,27,61.93,-23.6632,0.9216,0.5924,0.5057,0.2045
3,28,46.84,-25.5301,0.5736,0.8476,0.8844,0.157
3,29,34.85,-16.6281,0.4659,0.6473,0.6342,0.0794
3,30,25.54,-17.8224,0.7047,0.7583,0.8767,0.0001
4,1,87.74,-69.0255,0.9085,0.5793,0.4139,0.2903
4,2,54.03,-63.3841,0.8934,0.7035,0.4309,0.1346
4,3,34.45,-59.4294,0.5977,0.8387,0.6187,0.0835
4,4,62.03,-63.2372,0.9999,0.4978,0.3483,0.2984
4,5,50.05,-69.3406,0.7769,0.6901,0.6934,0.143
4,6,24.74,-47.8365,0.6692,0.8481,0.6119,0.0001
4,7,24.42,-37.3901,0.4304,0.8164,0.6834,0.0088
4,8,28.12,-38.624,0.7275,0.6469,0.5976,0.0001
4,9,83.59,-72.4419,0.7335,0.6468,0.5398,0.2621
4,10,31.26,-36.4208,0.6669,0.6999,0.553,0.0001
4,11,65.71,-50.669,0.9943,0.4654,0.3555,0.1891
4,12,80.76,-60.8581,0.8216,0.4628,0.4497,0.3452
4,13,58.42,-59.1671,0.8635,0.6753,0.3969,0.1517
4,14,54.69,-52.707,0.6833,0.6538,0.5397,0.1441
4,15,24.83,-54.6159,0.6563,0.9289,0.4942,0.0001
4,16,73.69,-63.7461,0.868,0.5113,0.4554,0.2794
4,17,25.17,-35.7975,0.8599,0.5869,0.5182,0.0001
4,18,54.37,-69.4286,0.7591,0.6766,0.6199,0.1838
4,19,39.62,-40.9135,0.5507,0.6301,0.6128,0.0927
4,20,31.39,-34.2243,0.6263,0.6563,0.5778,0.0001
4,21,24.97,-43.8844,0.7075,0.7433,0.6234,0.0038
4,22,62.73,-64.6091,0.8096,0.6228,0.5141,0.1936
4,23,37.75,-62.3426,0.6553,0.8498,0.6706,0.0657
4,24,47.79,-61.845,0.475,0.7124,0.7911,0.1649
4,25,67.27,-54.2339,0.7837,0.5628,0.4486,0.1985
4,26,73.66,-59.7633,0.7065,0.5637,0.4638,0.2889
4,27,33.73,-41.793,0.5697,0.5942,0.7364,0.0343
4,28,84.0,-50.0497,0.8473,0.467,0.4625,0.2084
4,29,30.77,-35.5183,0.685,0.6234,0.6117,0.0001
4,30,43.61,-65.7179,0.884,0.6994,0.5761,0.1189
5,1,62.97,-122.4884,0.7138,0.5748,0.4632,0.2196
5,2,40.67,-139.0467,0.6498,0.6793,0.6905,0.0973
5,3,33.84,-132.8329,0.7406,0.7073,0.6937,0.0276
5,4,39.24,-107.2043,0.7276,0.6154,0.5566,0.0843
5,5,75.47,-111.9427,0.7528,0.4352,0.4596,0.2535
5,6,28.01,-117.704,0.5858,0.8109,0.6947,0.0094
5,7,65.84,-140.9513,0.771,0.5718,0.4832,0.2053
5,8,44.45,-127.4215,0.7224,0.666,0.5623,0.0885
5,9,44.98,-151.5428,0.714,0.6712,0.6446,0.1242
5,10,36.48,-117.3637,0.8397,0.6212,0.5537,0.0441
5,11,28.55,-102.078,0.5563,0.7658,0.6716,0.0238
5,12,48.71,-158.3173,0.6838,0.7031,0.6466,0.138
5,13,76.34,-153.6616,0.6587,0.6495,0.5977,0.2111
5,14,78.67,-177.7548,0.6975,0.6383,0.5312,0.2726
5,15,60.1,-173.0288,0.6375,0.6906,0.6375,0.1948
5,16,62.3,-131.3703,0.9015,0.5001,0.4783,0.1669
5,17,50.84,-153.5067,0.7042,0.6546,0.6325,0.1334
5,18,41.9,-144.8899,0.7308,0.703,0.6072,0.1024
5,19,64.03,-150.2259,0.9018,0.5947,0.4832,0.1608
5,20,72.67,-150.3943,0.8563,0.5136,0.5413,0.2068
5,21,49.75,-167.5284,0.7333,0.7231,0.6149,0.1305
5,22,56.15,-150.884,0.7168,0.6451,0.6188,0.1548
5,23,70.25,-164.5603,0.9539,0.5397,0.4692,0.2055
5,24,61.16,-147.7748,0.7797,0.6373,0.5184,0.1665
5,25,68.83,-140.9997,0.9999,0.4239,0.3881,0.2952
5,26,71.83,-144.1922,0.842,0.4254,0.4184,0.3749
5,27,75.07,-136.1711,0.8785,0.4966,0.4677,0.2197
5,28,29.9,-113.6334,0.6019,0.7662,0.7157,0.0091
5,29,64.78,-168.496,0.8071,0.674,0.4724,0.1826
5,30,52.37,-149.3214,0.5992,0.6939,0.6212,0.1665
7,2,77.64,-774.7266,0.8307,0.5549,0.4885,0.1947
7,3,86.98,-789.5761,0.8448,0.557,0.4544,0.2167
7,4,86.14,-783.4518,0.7737,0.5759,0.4876,0.2228
7,5,86.52,-796.7605,0.7905,0.5658,0.4931,0.222
7,6,63.07,-779.6589,0.7209,0.6595,0.5398,0.1573
7,7,78.79,-791.1613,0.7648,0.5952,0.5108,0.1979
7,8,86.44,-798.0444,0.7802,0.5564,0.4941,0.2172
7,9,61.45,-766.5171,0.6788,0.6452,0.5869,0.1392
7,10,95.38,-795.3241,0.8483,0.5075,0.4602,0.2372
7,11,99.62,-819.3489,0.7616,0.5545,0.4892,0.2456
7,12,66.46,-762.1832,0.7815,0.6003,0.534,0.1555
7,13,65.85,-775.0717,0.706,0.6097,0.5729,0.152
7,14,66.1,-749.5999,0.7741,0.597,0.5257,0.1473
7,15,61.97,-747.4163,0.7178,0.6333,0.5795,0.1426
7,16,73.22,-792.7803,0.6761,0.6109,0.5842,0.1793
7,17,100.62,-830.0848,0.7707,0.55,0.4671,0.264
7,18,82.96,-793.6042,0.7926,0.5705,0.4877,0.1992
7,19,77.23,-790.4727,0.7521,0.6039,0.5127,0.1822
7,20,65.38,-752.5139,0.7776,0.6162,0.5091,0.1595
7,21,73.06,-782.8713,0.7366,0.6021,0.5419,0.17
7,22,91.15,-802.5124,0.8033,0.5439,0.4665,0.235
7,23,90.05,-806.1823,0.8002,0.5361,0.4563,0.2543
7,24,85.6,-788.4564,0.8021,0.5572,0.4706,0.2123
7,25,64.21,-765.8416,0.7652,0.6241,0.5206,0.157
7,26,73.88,-771.1417,0.7933,0.5888,0.4777,0.183
7,27,81.4,-796.9129,0.7451,0.5724,0.5253,0.204
7,28,63.08,-768.581,0.6911,0.6511,0.5765,0.1503
7,29,98.15,-803.1013,0.8267,0.5186,0.4639,0.2616
7,30,74.57,-792.5684,0.636,0.6368,0.583,0.1864
8,1,71.56,-1859.4292,0.7417,0.6172,0.5509,0.1731
8,2,96.68,-1956.5473,0.7632,0.5818,0.4772,0.2394
8,3,77.33,-1901.1952,0.7523,0.6274,0.5108,0.1936
8,4,90.73,-1893.0913,0.8071,0.5466,0.4977,0.231
8,5,74.77,-1852.611,0.7534,0.6039,0.5254,0.1758
8,6,92.93,-1913.6578,0.7551,0.5669,0.4956,0.239
8,7,77.99,-1871.4789,0.7872,0.5919,0.5183,0.1901
8,8,85.42,-1922.5888,0.7478,0.5981,0.4972,0.2161
8,9,89.76,-1903.4836,0.7998,0.5695,0.4902,0.2221
8,10,74.73,-1885.6751,0.746,0.6244,0.5257,0.1889
8,11,82.94,-1896.9481,0.7693,0.5903,0.4993,0.2019
8,12,68.92,-1851.4512,0.7595,0.6313,0.5307,0.1624
8,13,71.29,-1846.4493,0.7074,0.6305,0.5523,0.1638
8,14,86.02,-1938.6888,0.7389,0.6056,0.4984,0.2167
8,15,89.39,-1889.4831,0.8314,0.555,0.4568,0.2177
8,16,68.75,-1842.2482,0.7323,0.6376,0.5341,0.1555
8,17,96.33,-1887.7931,0.8128,0.5445,0.4814,0.2403
8,18,79.33,-1893.6663,0.7607,0.6011,0.5235,0.1994
8,19,97.97,-1909.9022,0.8047,0.5527,0.4624,0.2388
8,20,64.48,-1822.9273,0.7371,0.6397,0.5558,0.1511
8,21,70.68,-1873.8826,0.7536,0.6233,0.5267,0.1784
8,22,74.28,-1862.0305,0.7178,0.6151,0.5517,0.1699
8,23,79.66,-1893.5212,0.7836,0.6062,0.4914,0.2004
8,24,82.25,-1930.1394,0.7143,0.6051,0.5292,0.2109
8,25,61.97,-1811.7215,0.7122,0.654,0.554,0.1388
8,26,72.53,-1878.2365,0.7497,0.6256,0.5241,0.182
8,27,82.67,-1917.1364,0.7587,0.6141,0.4832,0.2026
8,28,76.13,-1885.6644,0.7411,0.6304,0.5202,0.187
8,29,78.58,-1875.8203,0.7665,0.5833,0.5375,0.1942
9,1,103.25,-4511.2744,0.7872,0.5746,0.4769,0.2468
9,2,105.67,-4484.1064,0.7947,0.5583,0.4668,0.244
9,3,94.15,-4469.385,0.771,0.583,0.4999,0.2319
9,4,91.19,-4392.9588,0.8052,0.5642,0.4797,0.2148
9,5,91.22,-4479.9355,0.7564,0.5928,0.4962,0.2192
9,6,70.08,-4294.048,0.7082,0.6653,0.5596,0.1556
9,7,93.93,-4408.2132,0.7784,0.5775,0.4894,0.2165
9,8,86.33,-4401.4375,0.7741,0.5992,0.5028,0.2086
9,9,101.91,-4488.6192,0.7899,0.5657,0.4717,0.2381
9,10,83.14,-4379.7738,0.7627,0.6083,0.5166,0.1976
9,11,92.79,-4442.9378,0.785,0.5914,0.4867,0.2215
9,12,86.34,-4428.283,0.7509,0.6131,0.5192,0.2024
9,13,93.06,-4445.3066,0.7697,0.5859,0.4932,0.2155
9,14,88.76,-4434.6979,0.7695,0.5948,0.507,0.2144
9,15,86.05,-4443.5902,0.7418,0.615,0.5052,0.2025
