k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,47.7,-2.7491,0.9999,0.8092,0.3752,0.3376
2,1,31.63,-4.5732,0.9999,0.9433,0.7656,0.0001
2,2,39.79,-4.8392,0.9999,0.5428,0.5428,0.0001
2,3,42.5,-1.5018,0.9999,0.9999,0.9999,0.0001
2,4,32.42,-4.6296,0.9999,0.3155,0.6353,0.0001
2,5,73.98,-8.9127,0.5153,0.5114,0.5187,0.5229
2,6,80.78,-8.6413,0.3517,0.8421,0.8298,0.3684
2,7,35.55,-2.7185,0.9999,0.3881,0.799,0.3479
2,8,55.9,-8.8862,0.9999,0.5875,0.8678,0.2174
2,9,33.71,-4.6072,0.9999,0.6288,0.3169,0.0001
2,10,37.26,-5.7603,0.9999,0.5912,0.2479,0.0001
2,11,31.25,-5.4885,0.9999,0.3925,0.669,0.0001
2,12,81.96,-7.4135,0.9999,0.9999,0.8952,0.3495
2,13,19.99,-0.0008,0.9999,0.9999,0.9999,0.0001
2,14,34.41,-3.0012,0.9999,0.9999,0.9999,0.0001
2,15,58.23,-7.7034,0.9999,0.7815,0.7724,0.2691
2,16,61.04,-5.107,0.9999,0.6815,0.9999,0.0001
2,17,47.48,-3.0013,0.9999,0.9948,0.9999,0.0001
2,18,26.37,-3.4426,0.9999,0.3491,0.3419,0.0001
2,19,33.25,-4.6147,0.9999,0.6291,0.3155,0.0001
2,20,61.73,-8.6852,0.9999,0.5307,0.508,0.5134
2,21,101.41,-5.8922,0.7216,0.7207,0.7192,0.0001
2,22,102.9,-5.8921,0.7211,0.7207,0.7227,0.0001
2,23,49.01,-10.0975,0.7493,0.6315,0.2403,0.2547
2,24,34.54,-4.6886,0.9999,0.6796,0.6841,0.0001
2,25,64.25,-7.5794,0.9999,0.8766,0.9882,0.1945
2,26,29.05,-3.4426,0.9999,0.3429,0.343,0.0001
2,27,54.53,-8.9185,0.9949,0.8408,0.6471,0.2229
2,28,57.25,-5.9414,0.8266,0.9999,0.9999,0.194
2,29,31.85,-4.5649,0.9999,0.7639,0.9368,0.0001
2,30,50.04,-6.0677,0.7563,0.9999,0.7239,0.0001
3,1,43.32,-23.0599,0.9999,0.8198,0.5217,0.0713
3,2,41.82,-15.3494,0.9154,0.5345,0.6189,0.0001
3,3,75.52,-24.4131,0.9999,0.489,0.5409,0.2291
3,4,23.92,-18.3773,0.9411,0.6553,0.7481,0.0147
3,5,31.56,-15.9229,0.9999,0.5038,0.649,0.0001
3,6,32.68,-16.4519,0.9705,0.602,0.6905,0.0001
3,7,48.41,-24.1503,0.6889,0.8233,0.742,0.1055
3,8,56.09,-22.7138,0.9949,0.486,0.4467,0.216
3,9,48.46,-16.0004,0.9999,0.5252,0.4297,0.0937
3,10,27.33,-16.2823,0.9999,0.7351,0.7478,0.0001
3,11,28.48,-17.7848,0.9999,0.6454,0.6124,0.0159
3,12,65.99,-25.9573,0.8518,0.7825,0.671,0.142
3,13,65.36,-14.7937,0.956,0.5269,0.5767,0.0001
3,14,29.34,-16.0645,0.9999,0.708,0.6903,0.0001
3,15,84.87,-26.466,0.9999,0.5017,0.54,0.2878
3,16,32.29,-13.0122,0.6532,0.6028,0.4815,0.0001
3,17,25.34,-14.7923,0.4629,0.7111,0.7943,0.0001
3,18,41.8,-23.1987,0.9999,0.677,0.9349,0.0501
3,19,29.67,-20.2608,0.8249,0.5637,0.9034,0.0001
3,20,30.59,-16.7716,0.8506,0.6978,0.5817,0.0001
3,21,32.34,-14.3119,0.9999,0.6022,0.584,0.0001
3,22,59.88,-16.4342,0.9999,0.5607,0.4642,0.0322
3,23,27.91,-16.2944,0.9999,0.83,0.8574,0.0001
3,24,43.54,-24.8984,0.9999,0.4778,0.7684,0.106
3,25,45.86,-21.1059,0.9949,0.5232,0.5021,0.1305
3,26,37.65,-23.9002,0.8201,0.7572,0.7982,0.0942
3,27,60.98,-24.7858,0.8528,0.7182,0.4656,0.1599
3,28,32.31,-16.7559,0.9999,0.3961,0.7369,0.0053
3,29,38.84,-26.1604,0.7965,0.9739,0.6302,0.0668
3,30,34.67,-17.5598,0.817,0.7493,0.7548,0.0001
4,1,49.67,-65.8706,0.9107,0.6236,0.6889,0.1082
4,2,32.4,-50.7117,0.7779,0.6625,0.746,0.0194
4,3,42.27,-55.5076,0.9999,0.7352,0.5885,0.0392
4,4,33.31,-47.2233,0.8999,0.6427,0.7009,0.0001
4,5,41.32,-44.5347,0.9415,0.6986,0.4898,0.0001
4,6,31.46,-49.9623,0.7447,0.7962,0.7615,0.0001
4,7,31.38,-55.6242,0.7035,0.7318,0.7499,0.0339
4,8,45.06,-56.5509,0.8415,0.6415,0.5845,0.0806
4,9,40.59,-56.6917,0.852,0.653,0.7206,0.0356
4,10,35.88,-58.3575,0.8359,0.7108,0.7523,0.0369
4,11,30.41,-49.5333,0.8259,0.7662,0.6412,0.0051
4,12,37.34,-57.7639,0.8185,0.786,0.5448,0.0374
4,13,35.38,-43.1603,0.9672,0.5857,0.6066,0.0023
4,14,33.85,-43.3296,0.9999,0.5909,0.6288,0.0036
4,15,36.58,-41.9579,0.9641,0.5728,0.5355,0.009
4,16,51.11,-55.0004,0.9999,0.721,0.5452,0.0388
4,17,35.1,-46.7355,0.9999,0.633,0.653,0.0085
4,18,38.69,-53.9758,0.9861,0.6311,0.6458,0.0286
4,19,31.88,-48.935,0.8825,0.7279,0.667,0.0001
4,20,32.78,-43.9361,0.9999,0.5431,0.6684,0.0001
4,21,39.52,-56.5743,0.8864,0.5921,0.6716,0.0555
4,22,37.2,-39.7883,0.9999,0.558,0.5849,0.0001
4,23,56.87,-66.0668,0.7842,0.6484,0.703,0.1116
4,24,33.52,-49.9935,0.8087,0.7292,0.7771,0.0001
4,25,42.92,-65.3838,0.8275,0.658,0.7623,0.0671
4,26,40.44,-67.4876,0.7281,0.7883,0.7403,0.0945
4,27,35.86,-55.152,0.8654,0.6968,0.6663,0.0403
4,28,38.71,-58.8862,0.8686,0.7395,0.6905,0.0322
4,29,41.81,-62.5132,0.9017,0.7055,0.5789,0.0907
4,30,32.01,-47.6598,0.7946,0.7236,0.7324,0.0001
5,1,46.99,-149.8269,0.8763,0.6538,0.5786,0.0702
5,2,65.45,-150.1145,0.9889,0.5334,0.5415,0.1309
5,3,40.63,-113.5504,0.9999,0.6174,0.5578,0.0104
5,4,47.77,-132.4608,0.8289,0.6562,0.6076,0.0569
5,5,60.68,-178.1263,0.9569,0.5831,0.6411,0.1233
5,6,41.3,-138.2738,0.8529,0.6724,0.6505,0.0288
5,7,53.57,-174.0576,0.8231,0.7356,0.6846,0.08
5,8,39.18,-124.3605,0.8181,0.6063,0.764,0.0001
5,9,49.57,-137.8824,0.9438,0.5945,0.551,0.0662
5,10,79.4,-144.5884,0.9999,0.5399,0.398,0.1802
5,11,42.26,-142.3567,0.8329,0.6768,0.6581,0.0326
5,12,43.54,-157.0703,0.7925,0.7668,0.69,0.0358
5,13,45.94,-170.6466,0.9507,0.6321,0.7401,0.0509
5,14,52.86,-158.0029,0.846,0.6036,0.6579,0.1083
5,15,43.0,-123.6808,0.9696,0.6727,0.6071,0.0001
5,16,45.11,-156.2419,0.888,0.6672,0.6616,0.0708
5,17,72.91,-171.0242,0.9535,0.5838,0.5279,0.1508
5,18,45.45,-121.7603,0.9999,0.5698,0.533,0.0548
5,19,61.98,-172.0477,0.9938,0.5725,0.6087,0.1203
5,20,53.33,-137.824,0.9999,0.5651,0.5261,0.0917
5,21,50.54,-154.471,0.9055,0.6243,0.6238,0.0697
5,22,47.35,-152.5287,0.9958,0.6355,0.5454,0.0818
5,23,40.4,-132.6036,0.7591,0.6456,0.7105,0.0279
5,24,42.81,-149.0771,0.7875,0.6462,0.74,0.0422
5,25,46.89,-145.4701,0.9484,0.7,0.6198,0.0336
5,26,50.62,-157.6088,0.7908,0.6844,0.7271,0.0645
5,27,40.96,-136.7066,0.8721,0.724,0.6024,0.0252
