k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,20.26,-0.0006,0.9999,0.9999,0.9999,0.0001
1,2,19.8,-0.0006,0.9999,0.9999,0.9999,0.0001
1,3,73.2,-0.2711,0.9999,0.0001,0.0001,0.7628
1,4,96.29,-1.4427,0.9999,0.6205,0.6156,0.8586
1,5,48.14,-2.7107,0.9999,0.7989,0.3905,0.3455
1,6,19.07,-0.0005,0.9999,0.9999,0.9999,0.0001
1,7,23.02,-0.0005,0.9999,0.9999,0.9999,0.0001
1,8,19.79,-0.0006,0.9999,0.9999,0.9999,0.0001
1,9,19.78,-0.0006,0.9999,0.9999,0.9999,0.0001
1,10,19.26,-0.0005,0.9999,0.9999,0.9999,0.0001
1,11,19.67,-0.0005,0.9999,0.9999,0.9999,0.0001
1,12,33.85,-2.7127,0.9999,0.3897,0.798,0.3472
1,13,97.12,-1.4427,0.9999,0.6207,0.6154,0.8586
1,14,129.23,-0.0425,0.9999,0.9999,0.9999,0.9587
1,15,19.63,-0.0005,0.9999,0.9999,0.9999,0.0001
1,16,96.65,-1.4427,0.9999,0.6207,0.6154,0.8586
1,17,106.0,-1.4427,0.9999,0.6206,0.6155,0.8586
1,18,149.05,-0.0425,0.9999,0.9999,0.9999,0.9587
1,19,20.03,-0.0007,0.9999,0.9999,0.9999,0.0001
1,20,21.16,-0.0005,0.9999,0.9999,0.9999,0.0001
1,21,48.91,-2.7313,0.9999,0.8057,0.382,0.3394
1,22,129.97,-0.0425,0.9999,0.9999,0.9999,0.9587
1,23,34.36,-2.7293,0.9999,0.3835,0.805,0.3404
1,24,34.24,-2.7361,0.9999,0.3815,0.8079,0.3375
1,25,48.92,-2.7176,0.9999,0.8004,0.3882,0.345
1,26,19.94,-0.0006,0.9999,0.9999,0.9999,0.0001
1,27,19.04,-0.0006,0.9999,0.9999,0.9999,0.0001
2,1,139.07,-9.739,0.8072,0.9224,0.9273,0.7982
2,2,33.87,-3.0023,0.9999,0.9999,0.9999,0.0001
2,3,31.53,-7.3824,0.9999,0.4672,0.9999,0.0001
2,4,70.66,-9.4543,0.9999,0.626,0.9541,0.29
2,5,42.4,-1.5018,0.9999,0.9999,0.9999,0.0001
2,6,81.09,-8.7321,0.9999,0.9549,0.9607,0.3653
2,7,88.2,-5.9786,0.9999,0.9999,0.9999,0.5332
2,8,84.1,-8.424,0.9999,0.8684,0.7907,0.401
2,9,50.5,-2.8978,0.9999,0.9999,0.9999,0.1657
2,10,48.46,-7.6543,0.9999,0.9778,0.823,0.199
2,11,73.07,-4.556,0.9999,0.9999,0.9999,0.3831
2,12,75.27,-4.5478,0.9999,0.9999,0.9999,0.3822
2,13,53.68,-8.7554,0.9999,0.3181,0.5274,0.4682
2,14,28.7,-5.4626,0.9999,0.4015,0.67,0.0001
2,15,77.7,-9.1585,0.9999,0.8305,0.8198,0.4721
2,16,38.97,-3.0012,0.9999,0.9999,0.9999,0.0001
2,17,69.98,-9.3652,0.9999,0.6723,0.4717,0.4135
2,18,81.73,-8.9879,0.9999,0.6365,0.7097,0.4526
2,19,31.45,-7.3835,0.9999,0.467,0.9999,0.0001
2,20,48.87,-7.3874,0.9999,0.9362,0.8433,0.1886
2,21,52.14,-6.6157,0.9999,0.8383,0.9999,0.1758
2,22,56.65,-7.2293,0.9999,0.9999,0.7527,0.2361
2,23,52.36,-5.989,0.9999,0.9651,0.9999,0.1796
2,24,76.65,-9.7105,0.9999,0.4584,0.5721,0.6153
2,25,46.05,-6.0523,0.8886,0.9999,0.9999,0.1875
2,26,105.32,-7.6962,0.9999,0.9999,0.9999,0.5679
2,27,109.28,-6.7352,0.9999,0.8224,0.7262,0.1954
2,28,86.33,-9.5879,0.9999,0.8182,0.8118,0.532
2,29,74.8,-7.4814,0.7487,0.9999,0.9999,0.4516
2,30,34.9,-3.997,0.9999,0.7449,0.9999,0.0001
3,1,54.77,-26.3275,0.9999,0.9103,0.9999,0.183
3,2,57.14,-30.4835,0.9493,0.8684,0.9999,0.2092
3,3,53.62,-26.7123,0.9999,0.7941,0.9723,0.1599
3,4,54.27,-24.3406,0.9999,0.9887,0.8809,0.1564
3,5,60.62,-25.946,0.9999,0.8629,0.7282,0.1764
3,6,48.25,-29.901,0.9999,0.9829,0.7659,0.1861
3,7,61.11,-28.3742,0.9999,0.9999,0.9999,0.2464
3,8,71.63,-31.5301,0.9999,0.7655,0.6832,0.2747
3,9,37.41,-19.3989,0.9999,0.9999,0.9999,0.1276
3,10,54.26,-31.4948,0.9715,0.9999,0.8256,0.2239
3,11,35.59,-22.6661,0.9999,0.9105,0.8585,0.0909
3,12,92.75,-34.2583,0.9999,0.6941,0.7345,0.3824
3,13,40.98,-24.3923,0.9999,0.7291,0.9713,0.0968
3,14,43.8,-23.3079,0.9999,0.9999,0.9329,0.1531
3,15,43.25,-23.2197,0.9999,0.9447,0.9999,0.1292
3,16,84.82,-34.1342,0.9999,0.9059,0.7941,0.3279
3,17,46.81,-20.8924,0.9999,0.9999,0.9999,0.1452
3,18,66.5,-25.316,0.9999,0.7264,0.9,0.1386
3,19,57.74,-29.3681,0.9999,0.8127,0.6355,0.2079
3,20,75.78,-34.455,0.8882,0.9999,0.9983,0.3535
3,21,46.43,-25.6763,0.9999,0.9999,0.9999,0.1753
3,22,58.71,-27.2002,0.9999,0.9238,0.9999,0.2021
3,23,73.23,-28.866,0.9999,0.9809,0.9999,0.2549
3,24,44.99,-22.9811,0.9999,0.9999,0.9934,0.1434
3,25,61.98,-26.5291,0.9999,0.834,0.9859,0.1636
3,26,57.6,-27.3427,0.9999,0.9245,0.8812,0.1763
3,27,41.03,-23.0052,0.9999,0.9056,0.6318,0.0753
3,28,62.25,-28.747,0.9999,0.9159,0.9999,0.2321
3,29,87.98,-32.5452,0.9879,0.9999,0.9999,0.3935
3,30,65.01,-30.6256,0.9361,0.9012,0.9999,0.2255
4,1,67.46,-98.9224,0.9999,0.7767,0.8103,0.2057
4,2,71.52,-97.0383,0.9999,0.7221,0.8286,0.2092
4,3,75.72,-115.4884,0.9886,0.9371,0.7969,0.2435
4,4,69.75,-107.4581,0.9999,0.9041,0.9159,0.207
4,5,66.39,-101.4162,0.9999,0.7796,0.8507,0.19
4,6,58.43,-94.5475,0.9999,0.9137,0.9205,0.162
4,7,57.77,-90.811,0.9999,0.927,0.9199,0.1537
4,8,60.59,-99.7939,0.9999,0.7571,0.8914,0.1744
4,9,58.57,-91.5338,0.9999,0.9077,0.8773,0.1479
4,10,53.45,-89.4727,0.9999,0.8777,0.7078,0.1477
4,11,72.99,-99.1265,0.9999,0.7948,0.8305,0.2045
4,12,82.97,-112.7815,0.9999,0.7892,0.8273,0.2745
4,13,69.76,-113.0541,0.9999,0.9628,0.7692,0.2319
4,14,67.01,-100.4046,0.9999,0.863,0.7567,0.2019
4,15,103.94,-120.5671,0.9999,0.8353,0.7921,0.3268
