k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,2,48.81,-2.7126,0.9999,0.7983,0.3901,0.3471
1,3,19.13,-0.0005,0.9999,0.9999,0.9999,0.0001
1,4,19.12,-0.0006,0.9999,0.9999,0.9999,0.0001
1,5,41.27,-1.2904,0.0001,0.6154,0.6207,0.0001
1,6,94.83,-1.4427,0.9999,0.621,0.6152,0.8586
1,7,48.22,-2.7347,0.9999,0.8073,0.3812,0.3392
1,8,19.09,-0.0004,0.9999,0.9999,0.9999,0.0001
1,9,48.03,-2.7155,0.9999,0.7999,0.3886,0.3462
1,10,19.09,-0.0005,0.9999,0.9999,0.9999,0.0001
1,11,48.64,-2.705,0.9999,0.7975,0.393,0.3469
1,12,127.39,-0.0425,0.9999,0.9999,0.9999,0.9587
1,13,19.6,-0.0005,0.9999,0.9999,0.9999,0.0001
1,14,34.23,-2.7242,0.9999,0.3842,0.8055,0.3362
1,15,19.29,-0.0007,0.9999,0.9999,0.9999,0.0001
1,16,19.1,-0.0007,0.9999,0.9999,0.9999,0.0001
1,17,19.04,-0.0004,0.9999,0.9999,0.9999,0.0001
1,18,48.51,-2.7295,0.9999,0.8052,0.383,0.3395
1,19,48.01,-2.7302,0.9999,0.8051,0.3827,0.34
1,20,72.23,-0.1427,0.1335,0.9999,0.9999,0.0001
1,21,48.72,-2.7108,0.9999,0.7981,0.3905,0.3474
1,22,40.96,-1.2904,0.0001,0.6155,0.6206,0.0001
1,23,47.99,-2.7317,0.9999,0.8061,0.3817,0.3376
1,24,94.25,-1.4427,0.9999,0.6207,0.6154,0.8586
1,25,18.94,-0.0007,0.9999,0.9999,0.9999,0.0001
1,26,72.11,-0.2711,0.9999,0.0001,0.0001,0.7628
1,27,33.48,-2.7512,0.9999,0.3756,0.8119,0.3373
1,28,33.1,-2.7095,0.9999,0.3904,0.7974,0.3465
1,29,19.06,-0.0006,0.9999,0.9999,0.9999,0.0001
1,30,41.09,-1.2904,0.0001,0.6157,0.6204,0.0001
2,1,52.39,-8.3187,0.5785,0.944,0.7294,0.1652
2,2,36.86,-5.7702,0.9999,0.5854,0.2426,0.0001
2,3,46.64,-5.3287,0.9999,0.8197,0.4942,0.0001
2,4,34.98,-2.7101,0.9999,0.39,0.7968,0.3483
2,5,35.01,-3.9708,0.9999,0.7502,0.9999,0.0001
2,6,48.68,-7.3864,0.9999,0.9297,0.9438,0.1778
2,7,46.2,-7.4245,0.2471,0.8099,0.8086,0.248
2,8,72.61,-9.702,0.8256,0.6473,0.8546,0.3107
2,9,59.38,-4.7349,0.4844,0.484,0.4841,0.0001
2,10,53.49,-7.4529,0.5557,0.33,0.3353,0.5619
2,11,42.55,-5.6167,0.6135,0.6121,0.6121,0.0001
2,12,23.78,-2.5805,0.0001,0.7805,0.7912,0.0001
2,13,29.85,-1.501,0.0001,0.9999,0.9999,0.0001
2,14,126.8,-0.0425,0.9999,0.9999,0.9999,0.9587
2,15,34.67,-5.7687,0.9999,0.5854,0.243,0.0001
2,16,143.12,-5.7763,0.9999,0.9697,0.9697,0.1733
2,17,30.71,-6.0675,0.7563,0.9999,0.7239,0.0001
2,18,37.99,-6.5985,0.1856,0.9999,0.9999,0.1832
2,19,40.92,-1.2904,0.0001,0.6206,0.6156,0.0001
2,20,50.17,-7.4397,0.9999,0.971,0.9034,0.1767
2,21,53.98,-8.2346,0.9999,0.6055,0.6035,0.2249
2,22,88.09,-8.929,0.4626,0.9999,0.9999,0.4636
2,23,80.92,-5.6137,0.6098,0.6072,0.6025,0.0001
2,24,26.24,-3.4429,0.9999,0.3431,0.3431,0.0001
2,25,39.61,-4.8398,0.9999,0.5427,0.5426,0.0001
2,26,52.28,-8.2558,0.5787,0.9427,0.7363,0.1589
2,27,34.72,-4.0701,0.9999,0.2815,0.2804,0.0001
2,28,59.43,-5.2236,0.9999,0.1101,0.2185,0.4424
2,29,30.43,-1.501,0.0001,0.9999,0.9999,0.0001
2,30,50.33,-8.3902,0.5666,0.9999,0.9274,0.2306
3,1,84.02,-26.3395,0.9032,0.613,0.6115,0.2112
3,2,45.55,-11.321,0.5861,0.535,0.4624,0.0001
3,3,39.35,-16.4652,0.9999,0.7055,0.6354,0.0001
3,4,83.25,-15.2558,0.8136,0.3956,0.3129,0.1826
3,5,56.71,-23.0297,0.9999,0.7091,0.3769,0.0935
3,6,96.89,-24.7955,0.7146,0.6077,0.4954,0.2917
3,7,35.45,-14.4057,0.6092,0.6656,0.553,0.0001
3,8,48.16,-11.4009,0.9999,0.3628,0.516,0.0001
3,9,32.99,-18.6034,0.7199,0.7921,0.6222,0.0187
