k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,6.895473003387451,-0.0004000663757324219,0.01806640625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.88467001914978,2.9206349849700928,1.0105750560760498,0.9128520488739014,0.15461421012878418,0.01806640625,0.4026365280151367,1.3779032230377197
1,2,4.348982095718384,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.346671104431152,2.7573506832122803,0.0020978450775146484,0.9487018585205078,0.09473609924316406,0.0283203125,0.42431163787841797,0.0009305477142333984
1,3,3.6178627014160156,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.615546226501465,2.5679359436035156,0.0020771026611328125,0.35037970542907715,0.10838460922241211,0.0283203125,0.4688680171966553,0.0002543926239013672
2,1,5.15194845199585,-5.53035306930542,0.0283203125,0.9998999834060669,0.7420001029968262,0.48183292150497437,9.999999747378752e-05,5.147752046585083,2.9857265949249268,0.004007577896118164,1.5413248538970947,0.09440231323242188,0.0283203125,0.40196943283081055,0.001781463623046875
2,2,5.1855738162994385,-4.838960647583008,0.0283203125,0.9998999834060669,0.5453537702560425,0.5453555583953857,9.999999747378752e-05,5.181561470031738,2.987586259841919,0.003803253173828125,1.6063530445098877,0.09509491920471191,0.0283203125,0.38027334213256836,0.0016248226165771484
2,3,4.34479832649231,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.340610027313232,2.766219139099121,0.0039637088775634766,0.9159023761749268,0.09587550163269043,0.0283203125,0.44260144233703613,0.0008742809295654297
3,1,7.627999305725098,-20.822600746154784,0.0283203125,0.9998999834060669,0.5685015320777893,0.7623743414878845,0.06668080389499664,7.624093294143677,3.1875391006469727,0.0037081241607666016,3.8207271099090576,0.0952146053314209,0.0283203125,0.4061543941497803,0.004279375076293945
3,2,6.7203049659729,-15.330178260803223,0.0283203125,0.9998999834060669,0.5080479979515076,0.7447749972343445,9.999999747378752e-05,6.716283321380615,3.1740705966949463,0.0038220882415771484,2.972703456878662,0.09380769729614258,0.0283203125,0.365811824798584,0.0036308765411376953
3,3,7.931789875030518,-17.378335380554198,0.0283203125,0.9998999834060669,0.2920699119567871,0.9998999834060669,0.10425536334514618,7.9278178215026855,3.1694793701171875,0.0037555694580078125,4.173178195953369,0.09381794929504395,0.0283203125,0.3809976577758789,0.004138946533203125
4,1,11.583826303482056,-73.71759262084962,0.02880859375,0.7660327553749084,0.9064703583717346,0.6722562909126282,0.09591344743967056,11.579492568969727,3.3846349716186523,0.004130363464355469,7.613682985305786,0.09512782096862793,0.02880859375,0.3744056224822998,0.008264303207397461
4,2,11.076399564743042,-67.39587173461913,0.02880859375,0.9884582757949829,0.6067061424255371,0.618842601776123,0.11754729598760605,11.072629451751709,3.3884644508361816,0.0035758018493652344,7.117540597915649,0.09546184539794922,0.02880859375,0.3622550964355469,0.0071413516998291016
4,3,9.673486232757568,-69.48261489868165,0.02880859375,0.9998999834060669,0.6246857643127441,0.2506568729877472,0.42853131890296936,9.669577598571777,3.2541627883911133,0.0037145614624023438,5.8477630615234375,0.09455537796020508,0.02880859375,0.3636171817779541,0.0059659481048583984
5,1,16.22140336036682,-196.48065643310548,0.03125,0.9998999834060669,0.5780019760131836,0.6261332035064697,0.12350040674209595,16.215389013290405,3.5050313472747803,0.005822181701660156,12.195768356323242,0.09588027000427246,0.03125,0.3138697147369385,0.012247800827026367
