k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,34.64,-2.7318,0.9999,0.3825,0.8059,0.3398
1,2,48.79,-2.7244,0.9999,0.8029,0.3846,0.3426
1,3,95.75,-1.4427,0.9999,0.6206,0.6156,0.8586
1,4,19.01,-0.0009,0.9999,0.9999,0.9999,0.0001
1,5,35.53,-2.7313,0.9999,0.3825,0.8056,0.34
2,1,99.27,-9.176,0.9999,0.7245,0.728,0.835
2,2,114.28,-0.0425,0.9999,0.9999,0.9999,0.9587
2,3,35.56,-4.8401,0.9999,0.5429,0.5428,0.0001
2,4,88.1,-8.7672,0.9999,0.5439,0.5749,0.8335
2,5,29.26,-4.6111,0.9999,0.63,0.3166,0.0001
2,6,39.74,-7.5799,0.9999,0.601,0.6691,0.2457
2,7,34.67,-3.7438,0.9999,0.6025,0.6025,0.0001
2,8,35.55,-4.8392,0.9999,0.5426,0.5429,0.0001
2,9,22.0,-6.2081,0.9999,0.6719,0.5182,0.0145
2,10,77.21,-9.9942,0.9999,0.6373,0.6639,0.5897
2,11,24.58,-6.6902,0.9999,0.4847,0.9005,0.0001
2,12,97.42,-9.2357,0.9999,0.567,0.6338,0.8207
2,13,88.37,-7.0233,0.9999,0.3519,0.3545,0.3363
2,14,76.57,-9.9671,0.9999,0.6548,0.6558,0.5802
2,15,47.21,-8.2601,0.9999,0.6648,0.8072,0.2063
2,16,45.92,-8.8961,0.9948,0.6476,0.8371,0.2239
2,17,89.84,-7.2195,0.9999,0.5004,0.5004,0.2547
2,18,70.91,-6.2723,0.9999,0.9999,0.9999,0.4097
2,19,132.98,-7.6224,0.9999,0.4531,0.448,0.5512
2,20,63.9,-9.4755,0.9999,0.9431,0.6282,0.3006
2,21,44.2,-7.9048,0.9999,0.4157,0.5393,0.3277
2,22,106.39,-7.6982,0.9999,0.7633,0.4949,0.2333
2,23,75.25,-9.7177,0.5279,0.6335,0.634,0.528
2,24,45.87,-7.3978,0.9999,0.3172,0.746,0.0388
2,25,24.1,-7.4343,0.4725,0.5051,0.9999,0.0001
2,26,89.5,-7.3453,0.9999,0.6607,0.6402,0.2271
2,27,23.53,-5.4961,0.6434,0.9999,0.9008,0.0001
2,28,68.94,-9.3867,0.9999,0.5291,0.554,0.5324
2,29,25.01,-6.6857,0.9999,0.4774,0.8878,0.0001
2,30,31.57,-7.5473,0.9999,0.8997,0.3504,0.0001
3,1,48.02,-25.8514,0.9999,0.7218,0.8049,0.1575
3,2,22.1,-17.6685,0.7661,0.8241,0.9107,0.0001
3,3,55.5,-23.4678,0.9999,0.6303,0.6456,0.1674
3,4,74.73,-25.0148,0.9428,0.5005,0.405,0.3527
3,5,38.62,-10.1162,0.9999,0.4018,0.3899,0.0001
3,6,109.06,-33.3231,0.6553,0.5788,0.5823,0.6416
3,7,67.06,-22.8511,0.8808,0.5214,0.4755,0.2214
3,8,55.83,-25.3586,0.7849,0.5634,0.5685,0.2511
3,9,21.02,-15.8434,0.9999,0.6164,0.6307,0.0001
3,10,43.97,-22.1749,0.9999,0.5396,0.7388,0.0748
3,11,56.92,-22.1598,0.9999,0.6184,0.5246,0.1551
3,12,75.17,-26.4003,0.9999,0.5355,0.5283,0.2935
3,13,64.77,-24.1825,0.9999,0.2842,0.4444,0.4542
3,14,39.62,-24.0526,0.9999,0.6293,0.7616,0.0958
3,15,54.84,-23.504,0.9999,0.5605,0.6615,0.1602
3,16,76.98,-28.1054,0.9999,0.6594,0.615,0.2614
3,17,47.02,-23.471,0.9999,0.4573,0.2788,0.3788
3,18,26.45,-16.4791,0.9999,0.5016,0.7221,0.0001
3,19,82.13,-23.792,0.9999,0.5763,0.5126,0.2537
3,20,62.07,-27.2252,0.9532,0.5389,0.5671,0.2736
3,21,76.03,-26.0217,0.9999,0.3798,0.5036,0.405
3,22,68.37,-28.057,0.9999,0.6726,0.6276,0.2215
3,23,61.64,-20.4783,0.9999,0.4215,0.5313,0.1862
3,24,40.2,-12.2971,0.9999,0.5638,0.2989,0.0001
3,25,23.15,-16.3728,0.9999,0.7727,0.711,0.0001
3,26,43.86,-26.3146,0.952,0.6766,0.6694,0.1685
3,27,63.57,-29.7808,0.9999,0.4863,0.6999,0.2726
3,28,55.53,-26.1133,0.9999,0.456,0.5832,0.2985
3,29,76.55,-29.8339,0.9999,0.4254,0.4705,0.5893
3,30,75.36,-31.0562,0.9999,0.4895,0.5881,0.426
4,1,75.45,-67.5126,0.9999,0.4498,0.5393,0.263
4,2,65.19,-58.4273,0.9999,0.4934,0.5156,0.1821
4,3,48.26,-71.2488,0.9999,0.4858,0.719,0.1193
4,4,81.73,-69.5344,0.9999,0.4556,0.5913,0.2347
4,5,69.11,-67.7291,0.9999,0.417,0.4264,0.3784
4,6,96.81,-84.4243,0.9999,0.4617,0.684,0.2635
4,7,33.18,-57.1582,0.9564,0.5729,0.8647,0.0001
4,8,77.3,-71.5093,0.9999,0.4465,0.5524,0.2887
4,9,52.04,-64.0229,0.9541,0.5623,0.6112,0.138
4,10,50.56,-65.0184,0.9999,0.6702,0.565,0.0915
4,11,66.02,-51.4468,0.9999,0.4931,0.3723,0.1975
4,12,78.91,-70.5973,0.9999,0.4322,0.5655,0.2854
4,13,43.89,-61.2208,0.9999,0.5898,0.6503,0.0872
4,14,66.3,-78.9886,0.9999,0.5653,0.6595,0.1947
4,15,90.73,-89.6983,0.9999,0.5321,0.6168,0.3229
4,16,70.38,-75.1038,0.9999,0.5428,0.6652,0.1753
4,17,51.51,-54.407,0.9999,0.4894,0.5803,0.118
4,18,53.98,-81.4013,0.9999,0.6279,0.6519,0.1845
4,19,70.28,-69.5613,0.9999,0.4835,0.5753,0.242
4,20,74.97,-69.3807,0.9999,0.416,0.5258,0.3025
4,21,86.95,-77.8574,0.9999,0.5372,0.5341,0.2922
4,22,50.76,-70.8577,0.9999,0.6222,0.7557,0.1134
4,23,65.3,-56.1533,0.9999,0.5103,0.4732,0.1743
4,24,59.48,-61.1634,0.9999,0.4612,0.5908,0.157
4,25,33.95,-49.8867,0.9999,0.6075,0.7207,0.0087
4,26,54.39,-64.8725,0.9999,0.5263,0.58,0.1547
4,27,59.24,-66.4154,0.9999,0.4903,0.5622,0.1958
4,28,46.42,-63.3429,0.9999,0.6518,0.5451,0.1028
4,29,69.54,-77.1029,0.9999,0.6039,0.5895,0.2066
4,30,42.24,-54.2049,0.9999,0.6265,0.5376,0.0746
5,1,83.08,-194.7383,0.9999,0.5015,0.5959,0.2222
5,2,73.57,-181.2622,0.9848,0.4838,0.5498,0.2147
5,3,68.19,-211.3932,0.9999,0.5984,0.621,0.1676
5,4,84.16,-196.3183,0.9999,0.4918,0.6159,0.2005
5,5,81.23,-160.5926,0.9999,0.4618,0.5505,0.1745
5,6,80.5,-198.9318,0.9999,0.4142,0.52,0.3449
5,7,96.11,-181.8673,0.9999,0.4828,0.539,0.2272
5,8,79.95,-217.8972,0.9999,0.5039,0.6591,0.2112
5,9,70.31,-173.7965,0.9999,0.4273,0.6268,0.1843
5,10,84.58,-214.8075,0.9999,0.5146,0.6433,0.2017
5,11,69.25,-179.6179,0.9999,0.4846,0.5986,0.1815
5,12,82.84,-191.0195,0.9948,0.4583,0.5776,0.2258
5,13,78.97,-170.6418,0.9999,0.3968,0.539,0.2706
5,14,84.11,-208.2036,0.9999,0.5277,0.6024,0.2208
5,15,94.7,-177.9016,0.9999,0.4873,0.5258,0.2365
5,16,67.9,-192.4647,0.9871,0.5153,0.6269,0.1785
5,17,85.04,-206.4945,0.9999,0.5176,0.5893,0.2335
5,18,86.46,-201.4228,0.9999,0.5036,0.5964,0.2184
5,19,97.18,-212.0879,0.9999,0.4995,0.5402,0.2977
5,20,56.05,-169.07,0.958,0.5975,0.6048,0.1155
5,21,87.5,-170.746,0.9999,0.4204,0.5539,0.2286
5,22,42.87,-152.7782,0.9999,0.6066,0.6454,0.0433
5,23,53.03,-171.3038,0.9999,0.6165,0.5947,0.1081
5,24,61.08,-194.6329,0.9427,0.5919,0.6371,0.1372
5,25,62.78,-173.6604,0.9928,0.5609,0.5667,0.1367
5,26,59.03,-198.93,0.9523,0.627,0.6143,0.1383
5,27,63.18,-189.2217,0.9426,0.4762,0.6742,0.1606
5,28,45.97,-128.6391,0.9999,0.5877,0.5326,0.0644
5,29,51.35,-176.432,0.9999,0.6176,0.691,0.084
5,30,56.57,-155.5755,0.9999,0.569,0.5187,0.1392
6,1,53.08,-30.297,0.9999,0.4029,0.3622,0.0628
6,2,42.73,-28.8158,0.9428,0.5108,0.3666,0.0001
6,3,31.33,-18.1913,0.9048,0.6588,0.8371,0.0001
6,4,28.31,-16.7952,0.5819,0.9079,0.849,0.0001
6,5,45.49,-27.1605,0.9999,0.4105,0.4594,0.0001
6,6,43.46,-26.4438,0.9999,0.4192,0.4249,0.0001
6,7,49.61,-25.8369,0.9999,0.4678,0.3604,0.0001
6,8,43.01,-27.3269,0.9999,0.4998,0.3619,0.0001
