k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,30.47,-2.741,0.9999,0.3779,0.8068,0.3379
1,2,42.85,-2.7302,0.9999,0.8051,0.383,0.3405
2,1,55.83,-7.0839,0.9043,0.4602,0.7522,0.0488
2,2,40.8,-4.8396,0.9999,0.5428,0.5428,0.0001
2,3,34.52,-2.7146,0.9999,0.3794,0.7906,0.3365
2,4,81.6,-6.5758,0.9999,0.4256,0.25,0.3076
2,5,78.9,-9.7236,0.9999,0.6103,0.5509,0.7029
2,6,77.78,-8.9131,0.5108,0.521,0.5104,0.5199
2,7,68.91,-9.3781,0.9999,0.4677,0.6705,0.4177
2,8,34.17,-4.6913,0.9999,0.6792,0.6851,0.0001
2,9,48.56,-2.7112,0.9999,0.7983,0.3904,0.3475
2,10,31.67,-4.5857,0.9999,0.9382,0.7537,0.0001
2,11,64.68,-9.3695,0.7607,0.6819,0.5719,0.3289
2,12,64.82,-7.8564,0.7762,0.2927,0.2743,0.7665
2,13,99.18,-7.3376,0.9999,0.6404,0.6617,0.2277
2,14,30.69,-4.5007,0.9999,0.9999,0.9949,0.0001
2,15,60.53,-7.4254,0.9999,0.7396,0.3153,0.046
2,16,55.71,-8.7672,0.9999,0.5303,0.3173,0.4621
3,1,44.34,-22.0866,0.9999,0.7421,0.5851,0.0737
3,2,29.24,-17.5128,0.9999,0.7369,0.5064,0.0001
3,3,65.44,-26.734,0.9999,0.7591,0.3803,0.1752
3,4,84.88,-24.0831,0.9999,0.3475,0.3722,0.5387
3,5,75.29,-31.5321,0.9999,0.8305,0.6938,0.2802
3,6,70.77,-28.8978,0.9999,0.5443,0.4505,0.4003
3,7,27.25,-17.6573,0.9999,0.6351,0.7964,0.0001
3,8,58.96,-24.7931,0.9999,0.6388,0.5393,0.1845
3,9,64.82,-17.8991,0.9999,0.513,0.3853,0.157
3,10,68.35,-22.565,0.9999,0.3657,0.4414,0.303
3,11,40.59,-22.5383,0.9999,0.6287,0.6603,0.0927
3,12,27.73,-17.5038,0.9999,0.4877,0.7751,0.0001
3,13,68.57,-30.6274,0.9999,0.7421,0.5384,0.2557
3,14,83.07,-23.6564,0.784,0.5514,0.5244,0.2347
3,15,66.76,-23.6605,0.9999,0.6409,0.5448,0.1766
3,16,56.14,-27.363,0.9999,0.7986,0.4597,0.1516
3,17,68.91,-28.9897,0.9999,0.4878,0.6916,0.2888
3,18,47.34,-19.6341,0.9999,0.46,0.5926,0.0929
3,19,70.87,-23.7946,0.9999,0.5377,0.3626,0.2648
3,20,58.0,-18.9322,0.9999,0.4907,0.5394,0.0836
3,21,68.16,-22.1991,0.9999,0.3117,0.3372,0.549
3,22,50.11,-22.9077,0.9999,0.5343,0.5799,0.1733
3,23,38.53,-15.8076,0.9999,0.6887,0.8234,0.0001
3,24,76.09,-22.7688,0.7517,0.5915,0.4389,0.2519
3,25,68.71,-23.4094,0.9999,0.5457,0.5058,0.2172
3,26,68.8,-23.863,0.9999,0.4822,0.337,0.3842
3,27,66.8,-26.6232,0.9999,0.6648,0.7414,0.17
3,28,55.33,-19.2011,0.9999,0.5149,0.6484,0.0888
3,29,124.73,-33.3695,0.6368,0.5922,0.5917,0.6355
3,30,57.08,-20.1652,0.9999,0.5362,0.3523,0.1786
4,1,65.01,-82.6382,0.869,0.6622,0.7368,0.1889
4,2,69.01,-68.9033,0.9999,0.5873,0.5827,0.163
4,3,110.05,-79.0257,0.9778,0.4076,0.5258,0.401
4,4,116.49,-87.2237,0.9999,0.5648,0.5825,0.3306
4,5,75.69,-79.3985,0.9999,0.5518,0.6561,0.2047
4,6,61.79,-62.9234,0.9999,0.6276,0.5573,0.1181
4,7,76.6,-63.3435,0.9999,0.6575,0.4605,0.1431
4,8,48.65,-61.0783,0.9999,0.498,0.7087,0.0883
4,9,71.45,-66.729,0.8914,0.5261,0.6664,0.1549
4,10,63.74,-79.2309,0.9999,0.6112,0.7325,0.1644
4,11,37.49,-49.7932,0.8505,0.6806,0.7209,0.0026
4,12,50.33,-60.7156,0.9999,0.6661,0.6383,0.0682
4,13,107.34,-88.877,0.9999,0.4546,0.5963,0.3651
4,14,96.6,-80.6565,0.9999,0.5547,0.5845,0.2626
4,15,70.59,-70.8895,0.9536,0.6409,0.5578,0.1573
4,16,91.33,-81.6681,0.9999,0.4174,0.4267,0.5078
4,17,96.17,-74.2473,0.9999,0.5529,0.5589,0.2198
4,18,67.59,-74.8686,0.9999,0.5445,0.6771,0.1876
4,19,69.94,-61.7204,0.9999,0.4956,0.5885,0.1476
4,20,60.21,-67.2633,0.9999,0.5157,0.6151,0.1455
