k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,84.55,-1.4427,0.9999,0.6202,0.616,0.8586
1,2,64.86,-0.2711,0.9999,0.0001,0.0001,0.7628
1,3,17.05,-0.0005,0.9999,0.9999,0.9999,0.0001
2,1,71.14,-6.5367,0.9999,0.2288,0.2496,0.7907
2,2,94.93,-8.5608,0.9999,0.4683,0.4403,0.8286
2,3,83.76,-9.3693,0.9999,0.7319,0.8501,0.5117
2,4,85.91,-4.3452,0.9999,0.1307,0.1443,0.7084
2,5,56.24,-7.8206,0.8577,0.2809,0.2876,0.7077
2,6,81.62,-8.0298,0.9999,0.3654,0.3546,0.804
3,1,107.68,-16.7731,0.9999,0.2219,0.261,0.5077
3,2,69.71,-13.5842,0.9999,0.1539,0.1354,0.7075
3,3,47.77,-18.0197,0.9999,0.2222,0.3921,0.3044
3,4,75.93,-11.2135,0.9999,0.0963,0.1072,0.7433
3,5,74.86,-27.7263,0.9999,0.3709,0.3777,0.6877
3,6,79.89,-27.2247,0.7574,0.3829,0.3861,0.7529
3,7,57.69,-16.0261,0.9999,0.3163,0.2287,0.3111
3,8,63.77,-22.7636,0.9081,0.2631,0.2681,0.7798
3,9,90.42,-26.3299,0.9999,0.4194,0.337,0.6
3,10,74.91,-20.1593,0.9999,0.2441,0.3101,0.6007
3,11,80.43,-16.0162,0.9999,0.3615,0.1761,0.3395
3,12,57.54,-14.1125,0.9999,0.1752,0.2121,0.4556
3,13,57.67,-14.7052,0.9999,0.176,0.1783,0.4962
3,14,70.89,-16.2387,0.9999,0.1917,0.2038,0.6352
3,15,68.12,-20.0084,0.9999,0.2249,0.2707,0.6333
3,16,63.07,-14.5218,0.9999,0.1519,0.1449,0.6747
3,17,79.26,-30.3536,0.9999,0.554,0.5878,0.361
3,18,64.13,-18.7084,0.9999,0.1901,0.2119,0.7782
3,19,56.4,-23.5633,0.9999,0.3025,0.3463,0.5454
3,20,59.48,-19.5722,0.9682,0.1864,0.219,0.7773
3,21,82.06,-24.7901,0.9999,0.4057,0.3852,0.4509
3,22,66.8,-21.3942,0.9856,0.3093,0.4127,0.3483
3,23,64.04,-24.7507,0.9999,0.2919,0.2925,0.7699
3,24,61.73,-17.1714,0.9999,0.1621,0.1924,0.76
3,25,93.64,-23.1708,0.9999,0.2763,0.3216,0.735
3,26,88.7,-27.449,0.4841,0.6066,0.608,0.4881
3,27,67.31,-17.6957,0.9999,0.2036,0.2638,0.6013
3,28,49.68,-20.8952,0.9999,0.2673,0.2993,0.5547
3,29,71.11,-11.4905,0.9999,0.1701,0.1053,0.4579
3,30,73.92,-19.1732,0.9999,0.2201,0.2103,0.7902
4,1,53.58,-49.1144,0.9999,0.2697,0.2561,0.5186
4,2,61.98,-43.0763,0.8733,0.3198,0.3355,0.3511
4,3,76.18,-75.9089,0.9999,0.3575,0.3856,0.5628
4,4,77.27,-64.1698,0.9999,0.2604,0.2941,0.707
4,5,75.01,-63.2647,0.9999,0.2533,0.2625,0.7914
4,6,77.25,-62.072,0.9999,0.3389,0.3346,0.4726
4,7,63.0,-57.6872,0.9999,0.362,0.31,0.4718
4,8,64.45,-52.4551,0.9999,0.2107,0.2303,0.7015
4,9,70.91,-62.7824,0.8822,0.3411,0.3276,0.5902
4,10,71.2,-65.2982,0.9576,0.2783,0.275,0.7574
4,11,72.77,-55.6565,0.9999,0.279,0.2587,0.6238
4,12,56.17,-46.0767,0.9999,0.2672,0.2313,0.5049
4,13,74.36,-57.65,0.9999,0.2356,0.2327,0.7777
4,14,62.83,-65.6492,0.9999,0.2944,0.3434,0.623
4,15,69.07,-66.0006,0.9999,0.3198,0.3001,0.6038
4,16,90.3,-56.2643,0.9999,0.319,0.3329,0.4632
4,17,64.4,-49.9313,0.9999,0.2226,0.2363,0.6302
4,18,80.45,-62.5149,0.9999,0.255,0.2605,0.7984
4,19,71.35,-46.9191,0.9999,0.2696,0.2513,0.4912
4,20,66.38,-47.176,0.9999,0.1887,0.1888,0.777
4,21,94.06,-67.3495,0.7769,0.4409,0.437,0.4783
4,22,75.62,-58.1681,0.9999,0.3908,0.2985,0.4359
4,23,62.78,-55.5527,0.9999,0.4085,0.2998,0.3812
4,24,69.94,-47.2308,0.9999,0.2099,0.1898,0.7477
4,25,68.49,-60.0044,0.9999,0.271,0.2924,0.6747
4,26,72.49,-60.8222,0.9999,0.2523,0.2208,0.7918
4,27,75.05,-64.4056,0.9017,0.3798,0.4044,0.4582
4,28,63.7,-46.6891,0.9999,0.2257,0.1957,0.63
4,29,80.38,-59.8083,0.9999,0.2326,0.2382,0.7731
4,30,64.63,-60.6588,0.8335,0.2761,0.2704,0.7999
5,1,67.36,-114.851,0.9999,0.2217,0.1752,0.6903
5,2,63.78,-126.3357,0.9999,0.2713,0.2665,0.513
5,3,69.31,-143.2316,0.9387,0.3177,0.3004,0.5468
5,4,62.64,-144.216,0.9999,0.2931,0.2403,0.6241
5,5,73.65,-173.0766,0.9999,0.339,0.3145,0.5719
5,6,64.74,-127.3317,0.9999,0.2491,0.2196,0.6249
5,7,67.02,-144.416,0.9999,0.2653,0.2226,0.6794
5,8,68.35,-136.7106,0.9999,0.2204,0.1971,0.7647
5,9,72.99,-158.6869,0.8382,0.276,0.281,0.7542
5,10,67.73,-166.7515,0.9999,0.2853,0.2582,0.6686
5,11,61.33,-125.4191,0.9999,0.2455,0.2294,0.5898
5,12,58.62,-103.2736,0.9999,0.2158,0.2204,0.5575
