k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,47.99,-2.734,0.9999,0.807,0.3812,0.3386
1,2,19.1,-0.0008,0.9999,0.9999,0.9999,0.0001
2,1,34.0,-8.0276,0.9999,0.6114,0.0678,0.0391
3,1,52.65,-19.3856,0.9999,0.5083,0.3857,0.1698
3,2,51.83,-20.9097,0.9999,0.5008,0.5029,0.1966
3,3,98.12,-27.1365,0.9999,0.4361,0.5348,0.4026
3,4,55.48,-20.9434,0.9999,0.3919,0.393,0.3032
3,5,57.61,-17.8218,0.9999,0.264,0.3162,0.3897
3,6,35.5,-4.8394,0.9999,0.5426,0.5428,0.0001
3,7,45.36,-12.8986,0.9999,0.5424,0.4755,0.0001
3,8,75.79,-32.4955,0.9999,0.5448,0.4658,0.5557
3,9,55.47,-20.556,0.9999,0.4884,0.3749,0.218
3,10,55.61,-24.3069,0.8478,0.395,0.4127,0.4402
3,11,55.37,-20.8577,0.9999,0.3169,0.4094,0.3085
3,12,61.32,-19.1831,0.9999,0.3804,0.4793,0.1944
3,13,67.9,-23.6967,0.9999,0.4946,0.5946,0.2338
3,14,59.85,-19.7111,0.843,0.4731,0.3987,0.2096
3,15,49.86,-19.8582,0.9999,0.2786,0.4758,0.2619
3,16,28.74,-16.0117,0.9999,0.5948,0.6436,0.0053
3,17,54.53,-20.6696,0.9999,0.321,0.4012,0.3119
3,18,59.2,-19.6591,0.9999,0.4561,0.4514,0.1742
3,19,24.39,-17.1993,0.8182,0.5922,0.7433,0.0001
3,20,57.05,-21.5457,0.9999,0.4441,0.3386,0.3024
3,21,68.81,-21.6314,0.9999,0.3926,0.5796,0.202
3,22,67.28,-26.2877,0.9999,0.6652,0.4995,0.2331
3,23,103.92,-31.9818,0.6468,0.5511,0.5505,0.6445
3,24,59.89,-21.6946,0.9999,0.3703,0.4385,0.2898
3,25,53.92,-25.5748,0.9999,0.4299,0.408,0.4587
3,26,64.03,-20.1611,0.9999,0.3545,0.4542,0.2912
3,27,48.8,-20.8512,0.9999,0.5389,0.5516,0.1381
3,28,32.22,-20.6796,0.9999,0.3556,0.7055,0.0381
3,29,47.29,-7.9665,0.9999,0.4072,0.4119,0.4875
3,30,47.19,-11.9911,0.9723,0.2223,0.334,0.1238
4,1,58.51,-49.6057,0.861,0.3196,0.3933,0.3793
4,2,64.79,-77.115,0.9999,0.5057,0.3557,0.4139
4,3,41.05,-50.5164,0.6846,0.6631,0.5938,0.0765
4,4,65.84,-53.2517,0.9999,0.353,0.4287,0.2785
4,5,68.89,-46.6271,0.9999,0.4788,0.2935,0.1889
4,6,40.04,-42.8839,0.9999,0.5611,0.501,0.0348
4,7,33.09,-35.6377,0.9999,0.5063,0.4983,0.0147
4,8,69.37,-53.6865,0.801,0.4786,0.4986,0.2171
4,9,68.65,-57.957,0.9589,0.5008,0.3276,0.2706
4,10,68.56,-52.6208,0.9999,0.3373,0.347,0.4058
4,11,68.98,-51.2819,0.9999,0.4174,0.3703,0.2565
4,12,73.55,-73.7492,0.9999,0.4846,0.3618,0.4323
4,13,52.2,-66.7647,0.9999,0.3992,0.6605,0.161
4,14,65.52,-77.8569,0.9999,0.5603,0.3662,0.3479
4,15,66.73,-57.579,0.9999,0.4745,0.4727,0.1978
4,16,76.67,-50.2584,0.9999,0.3512,0.3918,0.2921
4,17,79.75,-46.7209,0.9999,0.4455,0.411,0.1619
4,18,58.91,-53.084,0.9999,0.3583,0.3969,0.3269
4,19,60.39,-46.7262,0.9999,0.4771,0.3092,0.2276
4,20,70.78,-47.8917,0.9999,0.4495,0.4306,0.1764
4,21,66.2,-56.423,0.9999,0.4665,0.3908,0.2553
4,22,77.78,-69.2497,0.9999,0.5554,0.4457,0.2622
4,23,79.07,-44.9787,0.9447,0.3955,0.4297,0.1698
4,24,57.54,-50.2736,0.9999,0.3459,0.3755,0.3257
4,25,68.91,-53.2888,0.9999,0.4342,0.524,0.1682
4,26,65.89,-26.9493,0.7602,0.6862,0.4655,0.2912
4,27,58.61,-54.6911,0.7371,0.6019,0.4648,0.1892
4,28,71.63,-57.1699,0.9948,0.4646,0.4664,0.1935
4,29,69.55,-63.9051,0.9999,0.4443,0.4551,0.309
4,30,72.78,-49.3064,0.823,0.4668,0.4027,0.2568
5,1,69.43,-153.7787,0.9113,0.498,0.5336,0.1862
5,2,78.28,-132.3019,0.9999,0.4581,0.4433,0.1844
5,3,65.92,-119.889,0.9999,0.3227,0.4046,0.2934
5,4,83.89,-158.6967,0.9999,0.4925,0.4019,0.2702
5,5,62.85,-136.6248,0.9999,0.5324,0.4618,0.1449
5,6,64.73,-129.2336,0.9947,0.3482,0.4365,0.2544
5,7,83.08,-168.1235,0.9999,0.4426,0.4824,0.2741
5,8,89.8,-169.5129,0.9999,0.516,0.5116,0.2048
5,9,56.28,-99.893,0.9999,0.2174,0.2601,0.461
5,10,75.48,-145.9089,0.9999,0.4551,0.3696,0.2865
5,11,81.27,-152.2918,0.9999,0.4495,0.4456,0.2459
5,12,75.73,-131.6037,0.9999,0.443,0.4185,0.2125
5,13,73.43,-150.8872,0.9733,0.4642,0.445,0.2529
5,14,75.67,-151.7655,0.9999,0.4167,0.401,0.3264
5,15,82.5,-140.7365,0.9948,0.4449,0.4457,0.2113
5,16,66.12,-133.4724,0.9999,0.5079,0.4521,0.1524
5,17,73.76,-139.7282,0.9999,0.4378,0.3881,0.2661
5,18,72.39,-140.1417,0.9939,0.4686,0.3759,0.2596
5,19,60.52,-109.0488,0.9999,0.4624,0.4464,0.1066
5,20,74.88,-140.1474,0.9999,0.3654,0.4278,0.2886
5,21,54.16,-120.6424,0.9419,0.4878,0.5495,0.079
5,22,96.75,-125.986,0.9999,0.4402,0.4375,0.2011
5,23,80.8,-153.0985,0.9999,0.4667,0.4377,0.2506
5,24,72.89,-127.5922,0.9999,0.5022,0.4534,0.1456
5,25,76.43,-138.6552,0.9999,0.4004,0.4506,0.2486
5,26,76.26,-130.9113,0.988,0.4391,0.3536,0.2774
5,27,82.54,-146.3918,0.8876,0.4034,0.5074,0.2652
5,28,42.42,-133.5943,0.9999,0.539,0.5869,0.0669
5,29,65.02,-128.4658,0.9999,0.3421,0.4184,0.291
5,30,92.45,-151.5077,0.8955,0.479,0.4378,0.295
6,1,77.55,-330.6997,0.9735,0.4557,0.3902,0.2638
6,2,30.37,-2.7049,0.9999,0.3909,0.7939,0.3498
6,3,43.26,-2.7134,0.9999,0.7987,0.3892,0.3469
7,1,55.91,-52.6723,0.9999,0.3286,0.2577,0.4555
7,2,73.65,-58.6766,0.9195,0.3894,0.3387,0.4187
7,3,72.55,-58.6674,0.95,0.3229,0.3342,0.5062
7,4,82.78,-62.0121,0.8732,0.4082,0.4022,0.4223
7,5,62.47,-67.6718,0.9999,0.2575,0.2207,0.3142
7,6,66.56,-71.8444,0.9065,0.3498,0.2952,0.2214
7,7,64.81,-72.5815,0.9991,0.2865,0.3075,0.2205
7,8,63.16,-70.7916,0.9999,0.3023,0.321,0.1824
7,9,60.94,-69.1252,0.9999,0.3158,0.2496,0.208
7,10,100.97,-746.8208,0.9856,0.4712,0.4184,0.1893
7,11,84.56,-764.6084,0.9012,0.5065,0.5087,0.1518
7,12,105.34,-772.9356,0.9947,0.4231,0.3977,0.2533
7,13,98.56,-757.3306,0.9999,0.4359,0.3893,0.2572
7,14,108.18,-757.6888,0.9899,0.4737,0.4114,0.2119
7,15,102.01,-716.9369,0.9999,0.4491,0.3786,0.2376
7,16,100.06,-746.4817,0.9999,0.4427,0.4034,0.2337
7,17,104.01,-759.295,0.9999,0.4401,0.4329,0.2176
7,18,95.85,-759.605,0.9949,0.4286,0.4005,0.2407
7,19,77.19,-745.4028,0.8936,0.5181,0.519,0.1332
7,20,100.64,-786.8967,0.9645,0.4278,0.395,0.2974
7,21,110.77,-763.8846,0.9948,0.4254,0.4051,0.2411
7,22,106.86,-791.9564,0.9734,0.4328,0.4116,0.2545
7,23,107.44,-768.862,0.9735,0.429,0.4114,0.2486
7,24,99.04,-775.3441,0.9942,0.4328,0.3776,0.2617
7,25,101.95,-740.985,0.9935,0.4523,0.4252,0.1934
7,26,115.82,-769.9232,0.968,0.4359,0.4308,0.2297
8,1,74.22,-365.1928,0.8942,0.5476,0.4924,0.176
