k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,6.829647779464722,-0.001953125,0.01806640625,0.9990234375,0.9990234375,0.00010001659393310547,0.00010001659393310547,5.856022357940674,2.6881790161132812,0.9734072685241699,1.184342622756958,0.16260385513305664,0.01806640625,0.29883790016174316,1.4309964179992676
1,2,4.396960735321045,-0.001953125,0.0283203125,0.9990234375,0.00010001659393310547,0.9990234375,0.00010001659393310547,4.394560813903809,2.5780129432678223,0.0021495819091796875,1.1913814544677734,0.09960150718688965,0.0283203125,0.40694522857666016,0.0009467601776123047
1,3,3.5127172470092773,0.0,0.0283203125,nan,nan,nan,nan,3.510655403137207,2.4901764392852783,0.001837015151977539,0.34897279739379883,0.1212007999420166,0.0283203125,0.428145170211792,0.00025272369384765625
1,4,3.3173203468322754,0.0,0.0283203125,nan,nan,nan,nan,3.3144896030426025,2.320890426635742,0.002550363540649414,0.3220360279083252,0.11125063896179199,0.0283203125,0.43787670135498047,0.000274658203125
1,5,3.7492787837982178,0.0,0.0283203125,nan,nan,nan,nan,3.7467591762542725,2.7111222743988037,0.00223541259765625,0.3879208564758301,0.12933659553527832,0.0283203125,0.4031505584716797,0.0003173351287841797
1,6,4.5313684940338135,-0.001953125,0.0283203125,0.9990234375,0.9990234375,0.00010001659393310547,0.00010001659393310547,4.528667449951172,2.7141199111938477,0.0024688243865966797,1.215541124343872,0.10171699523925781,0.0283203125,0.3847615718841553,0.0013968944549560547
1,7,4.263095140457153,0.0,0.0283203125,0.9990234375,0.9990234375,0.00010001659393310547,0.9990234375,4.261336088180542,2.4031622409820557,0.0015273094177246094,1.227827548980713,0.10107660293579102,0.0283203125,0.40442991256713867,0.0010023117065429688
1,8,3.387763261795044,0.0,0.0283203125,nan,nan,nan,nan,3.3853542804718018,2.414123773574829,0.002175569534301758,0.3408389091491699,0.1143951416015625,0.0283203125,0.4070563316345215,0.00026488304138183594
1,9,3.7239911556243896,0.0,0.0283203125,nan,nan,nan,nan,3.7216715812683105,2.770137310028076,0.001928091049194336,0.37166404724121094,0.12186932563781738,0.0283203125,0.35601186752319336,0.00042366981506347656
1,10,4.070560693740845,-0.001953125,0.0283203125,0.9990234375,0.00010001659393310547,0.9990234375,0.00010001659393310547,4.066677570343018,2.304281234741211,0.0020406246185302734,1.2185616493225098,0.09752750396728516,0.0283203125,0.33678317070007324,0.0015416145324707031
2,1,5.155207872390747,-5.5234375,0.0283203125,0.9990234375,0.74365234375,0.48193359375,0.00010001659393310547,5.152815341949463,3.0346720218658447,0.00215911865234375,1.571302890777588,0.10130953788757324,0.0283203125,0.3458259105682373,0.0015723705291748047
2,2,5.238394021987915,-4.8359375,0.0283203125,0.9990234375,0.54248046875,0.5546875,0.00010001659393310547,5.235746622085571,3.0590012073516846,0.002435922622680664,1.6304762363433838,0.10251021385192871,0.0283203125,0.3421287536621094,0.0016574859619140625
2,3,4.734087705612183,-0.001953125,0.0283203125,0.9990234375,0.9990234375,0.00010001659393310547,0.00010001659393310547,4.732794284820557,2.9948618412017822,0.0010516643524169922,1.2092041969299316,0.10434508323669434,0.0283203125,0.32590436935424805,0.0008800029754638672
2,4,4.873607873916626,-3.5146484375,0.0283203125,0.9990234375,0.00010001659393310547,0.779296875,0.26416015625,4.871300458908081,2.980194568634033,0.002084493637084961,1.3996901512145996,0.1017143726348877,0.0283203125,0.29923343658447266,0.0014634132385253906
2,5,5.884793281555176,-7.8203125,0.0283203125,0.9990234375,0.393310546875,0.9990234375,0.48388671875,5.8823511600494385,3.1076653003692627,0.0022323131561279297,2.2792434692382812,0.1011049747467041,0.0283203125,0.3004944324493408,0.0021915435791015625
2,6,4.881391525268555,-4.8359375,0.0283203125,0.54541015625,0.9990234375,0.00010001659393310547,0.54931640625,4.880261659622192,2.9835727214813232,0.0009028911590576172,1.4027554988861084,0.10066533088684082,0.0283203125,0.3017754554748535,0.0014624595642089844
2,7,5.239845275878906,-6.921875,0.0283203125,0.9990234375,0.9990234375,0.454833984375,0.2099609375,5.237846851348877,2.7370715141296387,0.0015034675598144531,2.0119707584381104,0.0986177921295166,0.0283203125,0.29961395263671875,0.002017498016357422
2,8,5.672491073608398,-4.544140625,0.0283203125,0.9990234375,0.67724609375,0.69775390625,0.00010001659393310547,5.670342206954956,2.9187138080596924,0.0019288063049316406,2.219623327255249,0.10049819946289062,0.0283203125,0.3317387104034424,0.002142190933227539
2,9,4.049079895019531,-0.001953125,0.0283203125,0.9990234375,0.00010001659393310547,0.9990234375,0.00010001659393310547,4.0470170974731445,2.341845989227295,0.0018148422241210938,1.2190136909484863,0.0980837345123291,0.0283203125,0.2951793670654297,0.0011444091796875
2,10,4.890279531478882,-4.109375,0.0283203125,0.9990234375,0.74169921875,0.9990234375,0.00010001659393310547,4.888872146606445,2.1974081993103027,0.0011610984802246094,2.2477550506591797,0.09536480903625488,0.0283203125,0.2617795467376709,0.002411365509033203
3,1,7.444647550582886,-20.625,0.0283203125,0.9990234375,0.5712890625,0.7666015625,0.060333251953125,7.442975759506226,3.148179769515991,0.0014374256134033203,3.846050262451172,0.09885334968566895,0.0283203125,0.26784467697143555,0.004298210144042969
3,2,6.512704133987427,-15.3046875,0.0283203125,0.9990234375,0.5068359375,0.74658203125,0.00010001659393310547,6.511392116546631,3.354541778564453,0.0011119842529296875,2.685441493988037,0.09888267517089844,0.0283203125,0.28302621841430664,0.003732919692993164
3,3,7.431296110153198,-17.48125,0.0283203125,0.9990234375,0.2880859375,0.9990234375,0.12188720703125,7.429095983505249,2.820730686187744,0.0017139911651611328,4.162783622741699,0.0996544361114502,0.0283203125,0.25742411613464355,0.004270076751708984
3,4,6.538695573806763,-23.00625,0.0283203125,0.9990234375,0.458251953125,0.2476806640625,0.5556640625,6.537362098693848,2.877779006958008,0.0011053085327148438,3.2127647399902344,0.09863662719726562,0.0283203125,0.2657639980316162,0.0030558109283447266
3,5,9.910830736160278,-28.49375,0.0283203125,0.9990234375,0.611328125,0.9931640625,0.2509765625,9.909499168395996,3.1354761123657227,0.0010879039764404297,6.346898317337036,0.09848380088806152,0.0283203125,0.25007009506225586,0.006404399871826172
3,6,7.66466212272644,-25.24375,0.0283203125,0.9990234375,0.2415771484375,0.70068359375,0.4619140625,7.66236686706543,3.2494523525238037,0.0020575523376464844,3.9540483951568604,0.10205888748168945,0.0283203125,0.2697939872741699,0.0040090084075927734
3,7,6.96970272064209,-16.640625,0.0283203125,0.9990234375,0.81103515625,0.6259765625,0.00010001659393310547,6.967059373855591,3.1609396934509277,0.0024373531341552734,3.2932381629943848,0.09995436668395996,0.0283203125,0.3218376636505127,0.00430607795715332
3,8,7.521060228347778,-22.446875,0.0283203125,0.9990234375,0.482177734375,0.78759765625,0.12225341796875,7.519059896469116,3.089860200881958,0.0017745494842529297,3.9343104362487793,0.09699273109436035,0.0283203125,0.30947160720825195,0.003999471664428711
3,9,6.952331066131592,-17.125,0.0283203125,0.9990234375,0.29345703125,0.5517578125,0.2099609375,6.951119899749756,3.2095885276794434,0.000990152359008789,3.216127872467041,0.10029339790344238,0.0283203125,0.33335137367248535,0.0032455921173095703
