k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,6.654898405075073,-0.0004000663757324219,0.01806640625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.691030740737915,2.9033381938934326,0.9636378288269043,0.9436824321746826,0.16740822792053223,0.01806640625,0.16443920135498047,1.439260482788086
1,2,4.165034055709839,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.163760423660278,2.8863942623138428,0.0010378360748291016,0.9274132251739502,0.10380291938781738,0.0283203125,0.17087244987487793,0.000885009765625
1,3,4.32282280921936,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.321630239486694,2.9418954849243164,0.000965118408203125,1.0336182117462158,0.10459542274475098,0.0283203125,0.16756749153137207,0.0009968280792236328
1,4,4.339566230773926,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.33829927444458,2.9605588912963867,0.0010581016540527344,1.037644863128662,0.1067042350769043,0.0283203125,0.15888500213623047,0.0010075569152832031
1,5,4.0145957469940186,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.013357877731323,3.0825371742248535,0.0009653568267822266,0.594944953918457,0.12144899368286133,0.0283203125,0.13268065452575684,0.0004222393035888672
1,6,4.246919631958008,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.24552845954895,2.8097212314605713,0.00118255615234375,1.0225272178649902,0.10114669799804688,0.0283203125,0.21926498413085938,0.0012402534484863281
1,7,3.7665655612945557,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,3.765362501144409,2.7643227577209473,0.000993490219116211,0.5459616184234619,0.11366939544677734,0.0283203125,0.22647976875305176,0.00044655799865722656
1,8,3.251697063446045,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,3.2504255771636963,2.3488900661468506,0.0009927749633789062,0.4833850860595703,0.10454154014587402,0.0283203125,0.20210909843444824,0.0004477500915527344
1,9,3.443206548690796,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,3.441751718521118,2.5007197856903076,0.0011837482452392578,0.5099644660949707,0.10809087753295898,0.0283203125,0.21056914329528809,0.0005650520324707031
1,10,4.056447744369507,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.049124717712402,3.0139365196228027,0.006795167922973633,0.5806639194488525,0.11756706237792969,0.0283203125,0.2252342700958252,0.0005500316619873047
