dataset_name,theta_00,theta_01,theta_10,theta_11,best_ll,time
com-dblp.ungraph,0.8703,0.3789,0.5066,0.3314,-12915650.1993,597.77
cit-HepPh,0.9999,0.4637,0.3797,0.415,-3584058.1514,483.6
soc-Epinions1,0.9999,0.5221,0.4749,0.1451,-3911779.334,380.29
web-NotreDame,0.9999,0.4078,0.4611,0.2343,-15304772.1153,754.11
p2p-Gnutella25,0.8073,0.4293,0.5803,0.2414,-545045.5167,126.57
p2p-Gnutella30,0.8796,0.36,0.491,0.2931,-934799.8073,157.8
ca-HepTh,0.8536,0.5639,0.5639,0.1798,-416232.5251,146.39
ca-HepPh,0.9999,0.586,0.586,0.2145,-1326058.1171,499.87
flickrEdges,0.9999,0.5622,0.5602,0.2365,-16738438.3381,1448.5
ca-GrQc,0.9999,0.2922,0.2922,0.6007,-169098.1051,138.64
cit-HepTh,0.9999,0.5059,0.3873,0.417,-2660710.0372,466.61
