dataset_name,theta_00,theta_01,theta_10,theta_11,best_ll,time
com-dblp.ungraph,0.9035545587539673,0.527042806148529,0.32574474811553955,0.3181806802749634,-12183146.3,54.53294897079468
cit-HepPh,0.9998999834060669,0.435496062040329,0.5748417377471924,0.23389723896980286,-3434725.825,74.42523980140686
soc-Epinions1,0.9998999834060669,0.48000892996788025,0.5402756333351135,0.12792900204658508,-3721640.95,228.05222272872925
web-NotreDame,0.9998999834060669,0.35279580950737,0.3500540852546692,0.39990952610969543,-15184333.3,296.7927224636078
p2p-Gnutella25,0.8288268446922302,0.606620192527771,0.3996196389198303,0.23533973097801208,-516968.196875,31.47461247444153
p2p-Gnutella30,0.8583622574806213,0.5621563792228699,0.4019359350204468,0.20439009368419647,-881141.1875,20.499532222747803
ca-HepTh,0.9998999834060669,0.417292058467865,0.22971336543560028,0.4127424657344818,-204065.2765625,26.18721652030945
ca-HepPh,0.9998999834060669,0.5954368114471436,0.4726894199848175,0.2150704264640808,-724023.1125,161.1816749572754
flickrEdges,0.9998999834060669,0.5629670023918152,0.5675374269485474,0.22065971791744232,-16599520.0,502.5647141933441
ca-GrQc,0.9998999834060669,0.39805346727371216,0.21451903879642487,0.45827367901802063,-98066.62109375,26.875174283981323
cit-HepTh,0.9998999834060669,0.34375882148742676,0.5733756422996521,0.416047066450119,-2538001.95,180.44125699996948
