k,kronfit_theta_1,kronfit_theta_2,kronfit_theta_3,kronfit_theta_4,kronfit_best_ll,kronfit_time,mfit_theta_1,mfit_theta_2,mfit_theta_3,mfit_theta_4,mfit_best_ll,mfit_time
1,0.9999,0.6205,0.6156,0.8586,-1.4427,41.67,0.9999899864196777,0.9296941161155701,0.6694105267524719,0.2792132794857025,0.9743996858596802,48.18046522140503
2,0.9999,0.1339,0.1403,0.7082,-4.3479,44.36,0.7984232306480408,0.5920016765594482,0.4193248152732849,0.19357876479625702,-7.162167549133301,72.52110934257507
3,0.9999,0.1831,0.2369,0.6082,-17.5394,34.03,0.7892909646034241,0.598639190196991,0.4260376989841461,0.18494302034378052,-21.833526611328125,84.58612132072449
4,0.9999,0.2128,0.228,0.4778,-40.7508,32.19,0.7429594397544861,0.5613060593605042,0.4011511504650116,0.18285515904426575,-48.06664276123047,89.68751072883606
5,0.9558,0.2624,0.3232,0.4687,-117.9814,36.35,0.7686623930931091,0.593366801738739,0.42817312479019165,0.18601779639720917,-131.1791534423828,91.75735664367676
6,0.0001,0.6154,0.6207,0.0001,-1.2904,19.69,0.3913043439388275,0.31442970037460327,0.22389234602451324,0.08695652335882187,-1.4109348058700562,48.28292965888977
7,0.9896,0.2111,0.2247,0.5242,-462.2871,37.3,0.7400010228157043,0.5684424638748169,0.41505056619644165,0.18707586824893951,-603.0673217773438,92.57298111915588
8,0.9244,0.192,0.2053,0.6154,-1061.7132,39.16,0.7462548017501831,0.5767254829406738,0.4270055890083313,0.18617388606071472,-1452.44189453125,95.00753164291382
9,0.9146,0.2162,0.219,0.5886,-2396.8507,43.22,0.7458205223083496,0.5760858058929443,0.4395328462123871,0.18820999562740326,-3195.564208984375,94.89748644828796
10,0.9171,0.2244,0.234,0.5902,-5273.6607,50.34,0.7503094673156738,0.5803797841072083,0.43891414999961853,0.18484614789485931,-6841.9765625,95.57411623001099
11,0.9187,0.2328,0.2344,0.5827,-11325.1411,54.32,0.748859703540802,0.5786020755767822,0.4414338767528534,0.18718764185905457,-14565.30859375,96.09468078613281
12,0.8856,0.2457,0.2515,0.5839,-24647.2253,62.08,0.7478286623954773,0.577707827091217,0.4426723122596741,0.1879865676164627,-30678.49609375,95.79687833786011
13,0.8606,0.2803,0.2874,0.5485,-54119.1727,73.1,0.748339056968689,0.5785471796989441,0.44270381331443787,0.18762129545211792,-63675.46484375,96.46140432357788
14,0.8074,0.3343,0.3418,0.5023,-120255.2256,94.89,0.7448623776435852,0.5760422945022583,0.44687071442604065,0.19016264379024506,-131636.453125,97.43018388748169
15,0.7746,0.3557,0.3619,0.4842,-256969.3946,110.68,0.744280219078064,0.5766502022743225,0.4476652443408966,0.18993456661701202,-275238.875,96.15323114395142
16,0.7458,0.3819,0.3908,0.4613,-544790.9775,133.99,0.74363774061203,0.5765639543533325,0.44870179891586304,0.19015522301197052,-579585.375,95.97435879707336
17,0.7112,0.397,0.405,0.4315,-1143946.8716,172.53,0.7435618042945862,0.5762444138526917,0.4492855668067932,0.19019410014152527,-1226824.875,95.79042863845825
18,0.7015,0.4204,0.4287,0.4267,-2384127.3553,221.04,0.7443945407867432,0.5762580037117004,0.44641000032424927,0.19023644924163818,-2579604.25,94.89724230766296
19,0.6819,0.4174,0.4258,0.4158,-4927565.3454,301.07,0.747127890586853,0.5775456428527832,0.44150060415267944,0.18906205892562866,-5398203.0,95.92182397842407
20,0.6759,0.4151,0.4235,0.4252,-10147729.3799,463.76,0.7473394274711609,0.5767560601234436,0.43942686915397644,0.19028174877166748,-11218329.0,92.66580533981323
21,0.6687,0.4336,0.4415,0.4255,-20887645.5194,792.02,0.747652530670166,0.5764322876930237,0.43790823221206665,0.1902758628129959,-23145802.0,93.42839884757996
22,0.6489,0.4313,0.4385,0.4281,-42909089.9772,1401.45,0.7487804293632507,0.5772644877433777,0.4354519844055176,0.18989813327789307,-47509536.0,95.27018618583679
23,0.6418,0.4189,0.4259,0.4604,-87715610.922,2767.17,0.7491571307182312,0.5775740742683411,0.4348308742046356,0.18991903960704803,-97103088.0,98.92095685005188
