k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,34.18,-2.7354,0.9999,0.3808,0.8072,0.3376
2,1,88.94,-1.3074,0.9999,0.0001,0.0001,0.7261
2,2,49.72,-5.5543,0.9999,0.1351,0.1422,0.6285
2,3,44.0,-7.6051,0.9999,0.6746,0.6085,0.2558
2,4,51.92,-7.4935,0.9999,0.3084,0.3147,0.4949
2,5,108.55,-7.2521,0.9999,0.4937,0.3316,0.5666
2,6,40.02,-5.6707,0.9999,0.5359,0.2709,0.0132
2,7,32.59,-4.6109,0.9999,0.6303,0.3168,0.0001
2,8,56.39,-7.9235,0.9999,0.6852,0.8337,0.2644
2,9,84.47,-4.3443,0.9999,0.1344,0.1391,0.7145
2,10,72.92,-10.0334,0.9999,0.5283,0.889,0.3756
2,11,73.48,-7.8407,0.9999,0.3672,0.3535,0.8108
2,12,78.59,-8.9141,0.5215,0.5205,0.5155,0.5163
2,13,66.67,-5.0764,0.9999,0.1495,0.1156,0.7624
2,14,59.99,-9.6355,0.9999,0.7692,0.4062,0.3378
2,15,37.73,-7.993,0.9999,0.6069,0.067,0.0352
2,16,26.05,-3.4426,0.9999,0.3431,0.3431,0.0001
2,17,103.22,-5.7366,0.9999,0.2655,0.2572,0.6528
2,18,33.37,-4.6104,0.9999,0.6299,0.3167,0.0001
2,19,98.55,-7.1266,0.9999,0.3201,0.3726,0.3754
2,20,70.75,-9.7171,0.5174,0.6415,0.6311,0.5401
2,21,34.16,-2.7086,0.9999,0.3912,0.7978,0.3476
2,22,153.72,-7.796,0.9999,0.5823,0.5854,0.475
2,23,70.44,-9.1619,0.9999,0.5225,0.6277,0.4385
2,24,74.86,-8.913,0.5085,0.5174,0.5105,0.5091
2,25,26.19,-3.4426,0.9999,0.343,0.343,0.0001
2,26,31.16,-7.4719,0.9999,0.0846,0.5927,0.0402
2,27,49.22,-8.7595,0.9999,0.4574,0.7052,0.2207
2,28,59.1,-8.6211,0.9999,0.3419,0.422,0.6032
2,29,63.99,-5.2244,0.9999,0.2195,0.1109,0.4422
2,30,101.22,-7.1358,0.9999,0.3189,0.3798,0.374
3,1,97.99,-29.2821,0.9999,0.4383,0.5357,0.5281
3,2,69.0,-21.8906,0.8651,0.3669,0.2937,0.4855
3,3,76.65,-20.6106,0.7366,0.4481,0.483,0.251
3,4,51.44,-20.6349,0.9999,0.3122,0.3282,0.4296
3,5,62.46,-23.0223,0.6524,0.3658,0.3671,0.642
3,6,58.89,-5.8455,0.9999,0.3447,0.2966,0.3091
3,7,64.95,-17.6825,0.9999,0.285,0.2982,0.3862
3,8,67.25,-14.7987,0.9999,0.1968,0.1737,0.4644
3,9,51.02,-21.8141,0.9999,0.331,0.2582,0.5329
3,10,70.24,-20.2924,0.7899,0.4237,0.4853,0.2446
3,11,56.34,-17.7147,0.9999,0.1898,0.1778,0.7307
3,12,58.98,-16.2857,0.9999,0.276,0.28,0.3999
3,13,21.86,-19.5541,0.5551,0.5909,0.9536,0.0142
3,14,64.27,-18.7402,0.9999,0.3684,0.3497,0.2737
3,15,61.66,-16.0448,0.9999,0.2188,0.3086,0.3052
3,16,68.03,-20.6408,0.9999,0.3553,0.4355,0.3418
3,17,82.03,-23.0228,0.9999,0.5188,0.3788,0.2667
3,18,61.0,-12.8371,0.9999,0.3235,0.2256,0.2005
3,19,65.48,-15.8207,0.7863,0.351,0.3411,0.2331
3,20,62.58,-14.8942,0.9999,0.2132,0.2098,0.5076
3,21,51.67,-5.5424,0.9999,0.1428,0.1349,0.6155
3,22,100.85,-17.9922,0.9999,0.3457,0.2668,0.3559
3,23,91.96,-18.9577,0.9999,0.4215,0.2873,0.3138
3,24,86.68,-18.0234,0.9999,0.2068,0.2194,0.7853
3,25,55.33,-13.6331,0.9999,0.3843,0.6496,0.0001
3,26,49.83,-14.4671,0.9999,0.34,0.216,0.2509
3,27,58.86,-17.2168,0.9999,0.2541,0.2028,0.4978
3,28,61.23,-24.3761,0.9999,0.3755,0.2939,0.5457
3,29,63.06,-22.5912,0.9999,0.255,0.5529,0.2642
3,30,82.85,-9.5891,0.4845,0.6831,0.6897,0.4826
4,1,61.21,-47.3976,0.9999,0.3353,0.3093,0.3494
4,2,70.3,-37.6113,0.9999,0.2769,0.3527,0.2333
4,3,67.04,-48.2456,0.9999,0.276,0.2103,0.5654
4,4,73.24,-56.5943,0.8877,0.3715,0.334,0.4614
4,5,80.05,-59.3507,0.9999,0.3373,0.3477,0.4516
4,6,69.09,-51.232,0.9999,0.2457,0.3021,0.5207
4,7,68.44,-53.1823,0.9999,0.3064,0.2531,0.5051
4,8,80.08,-44.9573,0.9999,0.3919,0.3431,0.2149
4,9,76.14,-72.7397,0.9999,0.4545,0.3097,0.4679
4,10,79.79,-70.0273,0.9999,0.4041,0.4169,0.4538
4,11,63.54,-46.1928,0.9999,0.3621,0.4453,0.1928
4,12,80.07,-64.8312,0.9663,0.4633,0.36,0.3545
4,13,70.46,-55.4542,0.8592,0.5019,0.4815,0.2143
4,14,73.58,-52.1519,0.9999,0.3695,0.3857,0.3215
4,15,68.77,-60.1311,0.9664,0.5447,0.4246,0.1943
4,16,103.19,-77.9881,0.8868,0.5215,0.5092,0.3686
4,17,67.36,-22.0017,0.9999,0.4539,0.3728,0.371
4,18,78.89,-56.8461,0.9999,0.3024,0.307,0.5234
4,19,90.35,-62.8999,0.7406,0.4464,0.418,0.4479
4,20,76.69,-47.7874,0.9999,0.3882,0.3307,0.291
4,21,74.33,-62.1166,0.9999,0.429,0.4057,0.3235
4,22,60.94,-45.4049,0.9999,0.3281,0.2551,0.383
4,23,65.44,-63.1116,0.9999,0.3825,0.4095,0.3778
4,24,67.71,-56.7735,0.9999,0.3256,0.3848,0.4128
4,25,74.42,-41.791,0.9999,0.2343,0.1978,0.5579
4,26,64.89,-58.6821,0.9999,0.3504,0.422,0.3513
4,27,82.44,-45.7595,0.9999,0.2703,0.2735,0.4243
4,28,66.36,-57.3253,0.9999,0.3177,0.3079,0.5068
4,29,68.17,-65.8378,0.9999,0.4259,0.3496,0.4328
