k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,129.82,-0.0425,0.9999,0.9999,0.9999,0.9587
1,2,34.18,-2.6916,0.9999,0.3979,0.7908,0.3543
1,3,34.63,-2.6967,0.9999,0.397,0.7963,0.3491
1,4,18.98,-0.0008,0.9999,0.9999,0.9999,0.0001
2,1,59.22,-5.2281,0.9999,0.1106,0.2203,0.4419
2,2,59.35,-5.2401,0.9999,0.1099,0.2213,0.4403
2,3,33.7,-4.6933,0.9999,0.6786,0.6862,0.0001
2,4,67.37,-9.5472,0.9999,0.7193,0.3568,0.3933
2,5,28.83,-5.4628,0.9999,0.4025,0.6707,0.0001
2,6,77.76,-8.9141,0.5109,0.508,0.5102,0.5079
2,7,80.69,-8.9147,0.5173,0.5196,0.5246,0.5179
2,8,32.38,-4.6292,0.9999,0.3155,0.6352,0.0001
2,9,34.89,-3.9968,0.9999,0.7449,0.9999,0.0001
2,10,82.6,-9.7183,0.5262,0.6249,0.6342,0.5301
2,11,30.73,-7.5083,0.9999,0.0871,0.5927,0.0521
2,12,60.08,-5.1035,0.9999,0.6824,0.9999,0.0001
2,13,29.88,-4.5061,0.9999,0.9999,0.9947,0.0001
2,14,27.26,-6.6624,0.9999,0.4884,0.8984,0.0001
2,15,45.71,-5.3273,0.9999,0.8195,0.4943,0.0001
2,16,29.51,-7.0138,0.9999,0.4931,0.8688,0.0267
2,17,35.01,-7.4477,0.9999,0.8944,0.3591,0.0001
2,18,32.2,-4.6297,0.9999,0.3156,0.6354,0.0001
2,19,104.82,-9.8885,0.6335,0.9941,0.9901,0.6259
2,20,26.12,-3.4426,0.9999,0.3482,0.3482,0.0001
2,21,37.85,-7.3593,0.9999,0.5896,0.0907,0.0465
2,22,47.41,-7.5403,0.9999,0.8899,0.6294,0.2115
2,23,33.73,-7.4536,0.9999,0.3583,0.8943,0.0001
2,24,26.05,-3.4428,0.9999,0.3507,0.3424,0.0001
2,25,60.07,-5.8478,0.9999,0.2965,0.3448,0.3082
2,26,34.89,-14.2687,0.9248,0.0734,0.7828,0.08
2,27,34.33,-5.8319,0.9999,0.9999,0.6814,0.0001
2,28,18.93,-0.0008,0.9999,0.9999,0.9999,0.0001
2,29,30.81,-7.6579,0.9999,0.0768,0.6004,0.0318
2,30,69.82,-9.1655,0.9999,0.6337,0.516,0.4324
3,1,50.48,-8.7702,0.9999,0.7096,0.4636,0.2278
3,2,24.57,-17.7353,0.9812,0.7552,0.59,0.0001
3,3,38.0,-18.9036,0.9999,0.5062,0.8564,0.0001
3,4,56.87,-25.7984,0.9999,0.615,0.7588,0.1725
3,5,55.0,-25.7873,0.9566,0.6288,0.5783,0.1833
