k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
1,1,35.29,-2.7267,0.9999,0.3837,0.8045,0.3408
2,1,30.75,-6.9103,0.9999,0.8558,0.4966,0.0223
2,2,60.25,-9.3953,0.7688,0.5798,0.6901,0.3456
2,3,67.52,-8.9557,0.8245,0.3861,0.3924,0.7811
2,4,32.16,-4.6291,0.9999,0.3155,0.6351,0.0001
2,5,65.58,-8.9142,0.5089,0.5102,0.5084,0.5068
2,6,61.81,-8.6882,0.9999,0.4339,0.3269,0.6187
2,7,32.58,-4.6153,0.9999,0.6305,0.3159,0.0001
2,8,18.96,-0.0008,0.9999,0.9999,0.9999,0.0001
2,9,39.2,-4.8399,0.9999,0.5478,0.5479,0.0001
2,10,30.99,-4.5656,0.9999,0.7641,0.937,0.0001
2,11,66.91,-8.8958,0.9999,0.6751,0.6785,0.4504
2,12,64.67,-9.6587,0.9999,0.7743,0.3653,0.3408
2,13,49.88,-7.9202,0.9999,0.5387,0.4075,0.3198
2,14,40.37,-4.8391,0.9999,0.5427,0.5426,0.0001
3,1,41.25,-15.6177,0.9999,0.3138,0.5644,0.041
3,2,38.08,-22.6606,0.9999,0.7878,0.6276,0.0773
3,3,63.99,-20.5859,0.9999,0.4818,0.3928,0.2156
3,4,47.39,-24.3888,0.7355,0.598,0.6943,0.1757
3,5,58.41,-13.6957,0.9999,0.6058,0.6355,0.0001
3,6,53.77,-14.2021,0.9999,0.6473,0.6033,0.0001
3,7,56.11,-24.9956,0.9999,0.4934,0.6166,0.2266
3,8,64.74,-19.7223,0.9999,0.3559,0.564,0.1638
3,9,42.72,-16.6852,0.9999,0.4396,0.737,0.0001
3,10,47.2,-29.3186,0.7802,0.6873,0.8947,0.1768
3,11,25.42,-16.1522,0.8227,0.6744,0.58,0.0001
3,12,37.37,-17.6123,0.9999,0.6376,0.5483,0.0382
3,13,62.03,-19.7638,0.9999,0.4849,0.4898,0.1671
3,14,47.5,-12.1553,0.9999,0.5525,0.4209,0.0001
3,15,47.44,-23.8375,0.9648,0.6793,0.6443,0.1196
3,16,48.05,-20.7612,0.9999,0.7523,0.4655,0.0572
3,17,84.05,-18.7295,0.9999,0.5476,0.5047,0.1004
3,18,61.04,-17.0079,0.9776,0.4172,0.4609,0.1099
3,19,28.51,-20.4096,0.9247,0.5663,0.8965,0.0001
3,20,36.04,-13.5999,0.9999,0.5682,0.5373,0.0001
3,21,37.36,-17.8616,0.9999,0.2402,0.6247,0.0309
3,22,31.5,-15.3495,0.9999,0.6341,0.5873,0.0001
3,23,63.82,-21.4915,0.9999,0.5637,0.2742,0.2118
3,24,35.42,-17.2403,0.9999,0.7548,0.6695,0.0001
3,25,29.7,-16.8042,0.9999,0.6685,0.5458,0.0152
